,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
0,0.0,0.0,0.0,179.640243183,0.0,0.0,0.0,1.0,-13.2787538448,-13.7324320089,-16.0,-12.8539219716,-5.0,-3.6911295768,-16.0,0.9459470805,0.0,0.0,0.0,0.00480909099641,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,179.63799856,0.0,0.0,0.0,1.0,-12.2787538448,-12.7324320089,-15.0,-11.8539219716,-4.0,-2.6911295768,-15.0,1.9459470805,0.0,0.0,0.0,0.0264133481605,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,179.63505968,0.0,0.0,0.0,1.0,-11.2787538448,-11.7324320089,-14.0,-10.8539219716,-3.0,-1.6911295768,-14.0,2.9459470805,0.0,0.0,0.0,0.0690955007246,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,179.631469729,0.0,0.0,0.0,1.0,-10.2787538448,-10.7324320089,-13.0,-9.8539219716,-2.0,-0.6911295768,-13.0,3.9459470805,0.0,0.0,0.0,0.130482397982,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,0.0,232.73078256,0.0,179.627260033,0.0,0.564390065237,0.0,0.435609934763,-9.27875384482,-9.7324320089,-12.0,-8.8539219716,-1.0,0.3088704232,-12.0,4.9459470805,0.0,0.00369084543833,0.0,0.207609407881,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,0.0,232.73078224,0.0,179.622454951,0.0,0.564396641639,0.0,0.435603358361,-8.27875384482,-8.7324320089,-11.0,-7.8539219716,0.0,1.3088704232,-11.0,5.9459470805,0.0,0.035765984006,0.0,0.297987251553,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,0.0,232.730780814,0.0,179.617074288,0.0,0.564404004858,0.0,0.435595995142,-7.27875384482,-7.7324320089,-10.0,-6.8539219716,1.0,2.3088704232,-10.0,6.9459470805,0.0,0.0997503844475,0.0,0.399625367447,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,0.0,232.730776725,0.0,179.61113465,0.0,0.564412130576,0.0,0.435587869424,-6.27875384482,-6.7324320089,-9.0,-5.8539219716,2.0,3.3088704232,-9.0,7.9459470805,0.0,0.191952647631,0.0,0.510925825692,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,0.0,232.730767499,0.0,179.604650287,0.0,0.564420996742,0.0,0.435579003258,-5.27875384482,-5.7324320089,-8.0,-4.8539219716,3.0,4.3088704232,-8.0,8.9459470805,0.0,0.308465241714,0.0,0.63058713969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,0.0,232.730749616,0.0,179.597633648,0.0,0.564430582667,0.0,0.435569417333,-4.27875384482,-4.7324320089,-7.0,-3.8539219716,4.0,5.3088704232,-7.0,9.9459470805,0.0,0.445847278515,0.0,0.757532514417,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
