,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl
186,0.0,322.975415478,0.0,232.780846402,0.0,0.581145796514,0.0,0.418854203486,129.0,167.34936567,129.0,171.879137973,129.0,179.0,129.0,186.118504721,0.0,17.5771396723,0.0,22.3080095919,0.0,6.61732101545,0.0,18.0278149266,0,53.720623097,0,138.243048347,0,48.0488324776,0,133.02082826
187,0.0,319.706091868,0.0,232.735847258,0.0,0.57871437562,0.0,0.42128562438,130.0,168.34936567,130.0,172.879137973,130.0,180.0,130.0,187.118504721,0.0,17.6076569312,0.0,22.3784199219,0.0,6.61782934132,0.0,18.0183356344,0,53.8893355128,0,138.404166338,0,48.2266930188,0,133.193892479
188,0.0,316.478574113,0.0,232.690680078,0.0,0.576286038771,0.0,0.423713961229,131.0,169.34936567,131.0,173.879137973,131.0,181.0,131.0,188.118504721,0.0,17.6378838291,0.0,22.448422395,0.0,6.61831014463,0.0,18.0088046048,0,54.0568830769,0,138.5624037,0,48.4033085091,0,133.363481974
189,0.0,313.29228245,0.0,232.645345289,0.0,0.573860944056,0.0,0.426139055944,132.0,170.34936567,132.0,174.879137973,132.0,182.0,132.0,189.118504721,0.0,17.667824239,0.0,22.5180202188,0.0,6.6187648713,0.0,17.9992234607,0,54.2232830264,0,138.717804785,0,48.5786970273,0,133.52966139
190,0.0,310.146643912,0.0,232.599843318,0.0,0.571439246885,0.0,0.428560753115,133.0,171.34936567,133.0,175.879137973,133.0,183.0,133.0,190.118504721,0.0,17.6974819692,0.0,22.5872165722,0.0,6.61919489421,0.0,17.9895937508,0,54.3885521005,0,138.870412911,0,48.7528761547,0,133.692493708
191,0.0,307.041092345,0.0,232.554174589,0.0,0.569021099999,0.0,0.430978900001,134.0,172.34936567,134.0,176.879137973,134.0,184.0,134.0,191.118504721,0.0,17.7268607645,0.0,22.6560146061,0.0,6.61960151671,0.0,17.9799169538,0,54.5527065581,0,139.020270403,0,48.925862992,0,133.852040295
192,0.0,303.975068413,0.0,232.508339528,0.0,0.566606653465,0.0,0.433393346535,135.0,173.34936567,135.0,177.879137973,135.0,185.0,135.0,192.118504721,0.0,17.7559643071,0.0,22.724417443,0.0,6.61998597596,0.0,17.9701944813,0,54.7157621953,0,139.167418613,0,49.0976741761,0,134.008360946
193,0.0,300.948019609,0.0,232.462338557,0.0,0.564196054692,0.0,0.435803945308,136.0,174.34936567,136.0,178.879137973,136.0,186.0,136.0,193.118504721,0.0,17.7847962184,0.0,22.7924281778,0.0,6.62034944609,0.0,17.9604276809,0,54.8777343619,0,139.311897956,0,49.2683258963,0,134.161513936
194,0.0,297.959400246,0.0,232.416172099,0.0,0.561789448425,0.0,0.438210551575,137.0,175.34936567,137.0,179.879137973,137.0,187.0,137.0,194.118504721,0.0,17.8133600596,0.0,22.8600498776,0.0,6.62069304129,0.0,17.9506178394,0,55.0386379775,0,139.453747931,0,49.4378339093,0,134.311556062
195,0.0,295.008671456,0.0,232.369840575,0.0,0.559386976765,0.0,0.440613023235,138.0,176.34936567,138.0,180.879137973,138.0,188.0,138.0,195.118504721,0.0,17.8416593334,0.0,22.9272855821,0.0,6.6210178187,0.0,17.9407661855,0,55.1984875477,0,139.593007157,0,49.606213555,0,134.45854269
196,0.0,292.095301172,0.0,232.323344405,0.0,0.556988779166,0.0,0.443011220834,139.0,177.34936567,139.0,181.879137973,139.0,189.0,139.0,196.118504721,0.0,17.8696974847,0.0,22.9941383037,0.0,6.6213247812,0.0,17.9308738925,0,55.3572971784,0,139.729713389,0,49.7734797704,0,134.602527793
197,0.0,289.218764116,0.0,232.276684007,0.0,0.554594992453,0.0,0.445405007547,140.0,178.34936567,140.0,182.879137973,140.0,190.0,140.0,197.118504721,0.0,17.897477902,0.0,23.060611028,0.0,6.62161488007,0.0,17.9209420808,0,55.5150805909,0,139.863903553,0,49.9396471043,0,134.743563993
198,0.0,286.378541778,0.0,232.2298598,0.0,0.552205750825,0.0,0.447794249175,141.0,179.34936567,141.0,183.879137973,141.0,191.0,141.0,198.118504721,0.0,17.9250039183,0.0,23.1267067135,0.0,6.6218890175,0.0,17.9109718209,0,55.6718511358,0,139.995613761,0,50.1047297304,0,134.881702606
199,0.0,283.574122385,0.0,232.182872201,0.0,0.549821185872,0.0,0.450178814128,142.0,180.34936567,142.0,184.879137973,142.0,192.0,142.0,199.118504721,0.0,17.9522788124,0.0,23.1924282922,0.0,6.62214804901,0.0,17.9009641349,0,55.827621807,0,140.124879343,0,50.2687414611,0,135.016993673
200,0.0,280.805000878,0.0,232.135721625,0.0,0.54744142658,0.0,0.45255857342,143.0,181.34936567,143.0,185.879137973,143.0,193.0,143.0,200.118504721,0.0,17.9793058096,0.0,23.2577786698,0.0,6.62239278581,0.0,17.8909199994,0,55.9824052539,0,140.251734864,0,50.4316957595,0,135.149486003
201,0.0,278.070678879,0.0,232.088408488,0.0,0.545066599351,0.0,0.454933400649,144.0,182.34936567,144.0,186.879137973,144.0,194.0,144.0,201.118504721,0.0,18.0060880832,0.0,23.3227607258,0.0,6.62262399691,0.0,17.8808403475,0,56.1362137951,0,140.376214149,0,50.5936057526,0,135.279227207
202,0.0,275.37066465,0.0,232.040933203,0.0,0.54269682801,0.0,0.45730317199,145.0,183.34936567,145.0,187.879137973,145.0,195.0,145.0,202.118504721,0.0,18.0326287551,0.0,23.3873773136,0.0,6.62284241131,0.0,17.8707260709,0,56.2890594298,0,140.498350302,0,50.7544842424,0,135.406263736
203,0.0,272.70447306,0.0,231.993296183,0.0,0.540332233822,0.0,0.459667766178,146.0,184.34936567,146.0,188.879137973,146.0,196.0,146.0,203.118504721,0.0,18.0589308968,0.0,23.451631261,0.0,6.62304871991,0.0,17.8605780214,0,56.44095385,0,140.618175729,0,50.9143437176,0,135.53064091
204,0.0,270.07162554,0.0,231.94549784,0.0,0.537972935507,0.0,0.462027064493,147.0,185.34936567,147.0,189.879137973,147.0,197.0,147.0,204.118504721,0.0,18.0849975306,0.0,23.5155253702,0.0,6.62324357748,0.0,17.8503970135,0,56.5919084516,0,140.735722157,0,51.0731963649,0,135.652402956
205,0.0,267.471650038,0.0,231.897538586,0.0,0.535619049254,0.0,0.464380950746,148.0,186.34936567,148.0,190.879137973,148.0,198.0,148.0,205.118504721,0.0,18.1108316304,0.0,23.5790624183,0.0,6.62342760446,0.0,17.8401838255,0,56.7419343455,0,140.851020652,0,51.2310540794,0,135.771593038
206,0.0,264.904080973,0.0,231.849418831,0.0,0.533270688738,0.0,0.466729311262,149.0,187.34936567,149.0,191.879137973,149.0,199.0,149.0,206.118504721,0.0,18.1364361226,0.0,23.6422451569,0.0,6.62360138866,0.0,17.8299392018,0,56.8910423678,0,140.96410164,0,51.387928475,0,135.88825329
207,0.0,262.368459188,0.0,231.801138983,0.0,0.530927965135,0.0,0.469072034865,150.0,188.34936567,150.0,192.879137973,150.0,200.0,150.0,207.118504721,0.0,18.1618138871,0.0,23.7050763131,0.0,6.62376548695,0.0,17.8196638538,0,57.0392430901,0,141.074994922,0,51.5438308941,0,136.002424842
208,0.0,259.864331895,0.0,231.75269945,0.0,0.528590987142,0.0,0.471409012858,151.0,189.34936567,151.0,193.879137973,151.0,201.0,151.0,208.118504721,0.0,18.1869677579,0.0,23.7675585892,0.0,6.62392042678,0.0,17.8093584621,0,57.1865468292,0,141.183729695,0,51.6987724176,0,136.114147852
209,0.0,257.391252622,0.0,231.704100641,0.0,0.526259860996,0.0,0.473740139004,152.0,190.34936567,152.0,194.879137973,152.0,202.0,152.0,209.118504721,0.0,18.2119005243,0.0,23.8296946629,0.0,6.62406670774,0.0,17.7990236777,0,57.3329636563,0,141.290334565,0,51.8527638735,0,136.223461537
210,0.0,254.948781161,0.0,231.655342962,0.0,0.523934690485,0.0,0.476065309515,153.0,191.34936567,153.0,195.879137973,153.0,203.0,153.0,210.118504721,0.0,18.2366149317,0.0,23.8914871878,0.0,6.6242048029,0.0,17.7886601233,0,57.4785034062,0,141.394837567,0,52.0058158462,0,136.330404195
211,0.0,252.536483509,0.0,231.606426817,0.0,0.521615576976,0.0,0.478384423024,154.0,192.34936567,154.0,196.879137973,154.0,204.0,154.0,211.118504721,0.0,18.2611136822,0.0,23.9529387936,0.0,6.62433516022,0.0,17.7782683948,0,57.6231756856,0,141.497266177,0,52.1579386846,0,136.435013235
212,0.0,250.153931811,0.0,231.557352613,0.0,0.519302619431,0.0,0.480697380569,155.0,193.34936567,155.0,197.879137973,155.0,205.0,155.0,212.118504721,0.0,18.2853994355,0.0,24.0140520859,0.0,6.62445820382,0.0,17.7678490624,0,57.766989882,0,141.59764733,0,52.3091425108,0,136.5373252
213,0.0,247.800704298,0.0,231.508120752,0.0,0.516995914423,0.0,0.483004085577,156.0,194.34936567,156.0,198.879137973,156.0,206.0,156.0,213.118504721,0.0,18.3094748097,0.0,24.0748296469,0.0,6.62457433521,0.0,17.757402672,0,57.9099551709,0,141.696007433,0,52.4594372277,0,136.637375796
214,0.0,245.476385232,0.0,231.458731638,0.0,0.514695556165,0.0,0.485304443835,157.0,195.34936567,157.0,199.879137973,157.0,207.0,157.0,214.118504721,0.0,18.3333423824,0.0,24.1352740354,0.0,6.62468393443,0.0,17.7469297463,0,58.052080524,0,141.792372381,0,52.6088325264,0,136.735199912
215,0.0,243.180564839,0.0,231.409185672,0.0,0.512401636522,0.0,0.487598363478,158.0,196.34936567,158.0,200.879137973,158.0,208.0,158.0,215.118504721,0.0,18.3570046907,0.0,24.1953877868,0.0,6.62478736119,0.0,17.7364307857,0,58.1933747165,0,141.886767569,0,52.7573378939,0,136.830831647
