,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
231,119.009991272,102.106824316,0.0,119.736961695,0.349152625565,0.299561956245,0.0,0.35128541819,218.319015636,207.90015178,186.0,216.63208442,227.0,218.15577347,186.0,231.07509483,20.2623460964,20.3707505305,0.0,24.8394338936,0.0,4.51769266824,0.0,7.47271403758,0.0,40.9737398602,0,66.7862790077,107.760018868,0.0,107.760018868,0.0,37.9397823346,0,64.4109340384,102.350716373,0.0,102.350716373
232,118.090526991,100.876374714,0.0,119.711023035,0.348680909988,0.297853409818,0.0,0.353465680194,219.319015636,208.90015178,187.0,217.63208442,228.0,219.15577347,187.0,232.07509483,20.3071274301,20.3918583239,0.0,24.8943764323,0.0,4.51771697065,0.0,7.46189576707,0.0,41.0619615925,0,66.7574497777,107.81941137,0.0,107.81941137,0.0,38.0314301263,0,64.3853909322,102.416821059,0.0,102.416821059
233,117.181266263,99.6587182934,0.0,119.685006172,0.34820970059,0.296140616712,0.0,0.355649682697,220.319015636,209.90015178,188.0,218.63208442,229.0,220.15577347,188.0,233.07509483,20.3517280729,20.4127871662,0.0,24.9490326951,0.0,4.51773988885,0.0,7.45105794786,0.0,41.1497077345,0,66.7276851986,107.877392933,0.0,107.877392933,0.0,38.1225750137,0,64.3587686711,102.481343685,0.0,102.481343685
234,116.282065986,98.4538453482,0.0,119.658911291,0.347738834809,0.294423952426,0.0,0.357837212765,221.319015636,210.90015178,189.0,219.63208442,230.0,221.15577347,189.0,234.07509483,20.3961492497,20.4335392173,0.0,25.0034047736,0.0,4.51776150034,0.0,7.44020078144,0.0,41.2369823452,0,66.6969959134,107.933978259,0.0,107.933978259,0.0,38.2132214001,0,64.331082271,102.544303671,0.0,102.544303671
235,115.392785406,97.2617407093,0.0,119.632738577,0.3472681552,0.292703786885,0.0,0.360028057915,222.319015636,211.90015178,190.0,220.63208442,231.0,222.15577347,190.0,235.07509483,20.4403921733,20.4541166038,0.0,25.0574947408,0.0,4.51778187837,0.0,7.42932446258,0.0,41.3237894207,0,66.6653923737,107.989181794,0.0,107.989181794,0.0,38.3033736208,0,64.3023465064,102.605720127,0.0,102.605720127
236,114.513286072,96.0823839432,0.0,119.606488214,0.346797509399,0.290980484375,0.0,0.362222006226,223.319015636,212.90015178,191.0,221.63208442,232.0,223.15577347,191.0,236.07509483,20.4844580452,20.4745214197,0.0,25.1113046514,0.0,4.51780109217,0.0,7.41842917964,0.0,41.410132896,0,66.6328848437,108.04301774,0.0,108.04301774,0.0,38.3930359454,0,64.2725759122,102.665611858,0.0,102.665611858
237,113.643431793,94.915749549,0.0,119.580160385,0.346326750078,0.289254403478,0.0,0.364418846444,224.319015636,213.90015178,192.0,222.63208442,233.0,224.15577347,192.0,237.07509483,20.528348055,20.4947557268,0.0,25.1648365419,0.0,4.51781920714,0.0,7.40751511485,0.0,41.4960166468,0,66.5994834059,108.095500053,0.0,108.095500053,0.0,38.4822125793,0,64.241784785,102.723997364,0.0,102.723997364
238,112.783088601,93.7618071519,0.0,119.553755275,0.3458557349,0.287525897014,0.0,0.366618368085,225.319015636,214.90015178,193.0,223.63208442,234.0,225.15577347,193.0,238.07509483,20.5720633812,20.5148215553,0.0,25.2180924306,0.0,4.51783628511,0.0,7.39658244462,0.0,41.5814444913,0,66.5651979649,108.146642456,0.0,108.146642456,0.0,38.5709076657,0,64.2099871851,102.780894851,0.0,102.780894851
239,111.932124709,92.6205216949,0.0,119.527273066,0.345384326472,0.285795311991,0.0,0.368820361538,226.319015636,215.90015178,194.0,224.63208442,235.0,226.15577347,194.0,239.07509483,20.6156051908,20.5347209047,0.0,25.2710743183,0.0,4.51785238448,0.0,7.38563133975,0.0,41.6664201917,0,66.530038252,108.196458444,0.0,108.196458444,0.0,38.6591252873,0,64.1771969384,102.836322226,0.0,102.836322226
240,111.090410472,91.4918536277,0.0,119.500713942,0.344912392289,0.284062989556,0.0,0.371024618155,227.319015636,216.90015178,195.0,225.63208442,236.0,227.15577347,195.0,240.07509483,20.6589746399,20.5544557438,0.0,25.3237841876,0.0,4.51786756041,0.0,7.37466196569,0.0,41.7509474562,0,66.4940138296,108.244961286,0.0,108.244961286,0.0,38.7468694679,0,64.1434276386,102.890297106,0.0,102.890297106
241,110.25781835,90.3757590927,0.0,119.474078087,0.34443980469,0.282329264957,0.0,0.373230930354,228.319015636,217.90015178,196.0,226.63208442,237.0,228.15577347,196.0,241.07509483,20.7021728733,20.5740280118,0.0,25.376224004,0.0,4.51788186503,0.0,7.3636744828,0.0,41.8350299398,0,66.4571340955,108.292164035,0.0,108.292164035,0.0,38.8341441739,0,64.108692649,102.942836823,0.0,102.942836823
242,109.434222869,89.2721901081,0.0,119.447365682,0.34396644079,0.280594467507,0.0,0.375439091703,229.319015636,218.90015178,197.0,227.63208442,238.0,229.15577347,197.0,242.07509483,20.7452010253,20.5934396187,0.0,25.4283957155,0.0,4.51789534758,0.0,7.35266904657,0.0,41.9186712466,0,66.4194082865,108.338079533,0.0,108.338079533,0.0,38.9209533161,0,64.0730051052,102.993958421,0.0,102.993958421
243,108.619500584,88.1810947473,0.0,119.42057691,0.343492182432,0.278858920553,0.0,0.377648897015,230.319015636,219.90015178,198.0,228.63208442,239.0,230.15577347,198.0,243.07509483,20.7880602194,20.6126924456,0.0,25.4803012527,0.0,4.51790805455,0.0,7.3416458078,0.0,42.0018749305,0,66.3808454825,108.382720413,0.0,108.382720413,0.0,39.007300751,0,64.0363779174,103.043678668,0.0,103.043678668
