,BA_Aw,BA_Pl,BA_Sb,BA_Sw,BAinc_Aw,BAinc_Pl,BAinc_Sb,BAinc_Sw,N0_Aw,N0_Pl,N0_Sb,N0_Sw,N_Aw,N_Pl,N_Sb,N_Sw,PlotID,SDF_Aw,SDF_Pl,SDF_Sb,SDF_Sw,SI_Aw,SI_Pl,SI_Sb,SI_Sw,StumpDOB_Aw,StumpDOB_Pl,StumpDOB_Sb,StumpDOB_Sw,StumpHeight_Aw,StumpHeight_Pl,StumpHeight_Sb,StumpHeight_Sw,TopDib_Aw,TopDib_Pl,TopDib_Sb,TopDib_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,y2bh_Aw,y2bh_Pl,y2bh_Sb,y2bh_Sw
763406,2.60200556,1.53754874,0.0,1.7740947,0.144218237782,0.171234793684,0.0,0.0928092515821,167.497574279,98.7132290146,0.0,113.987815064,167.05302064,98.71314856,0.0,113.8997868,763406.0,164.980043137,98.7082648369,0.0,113.84877078,7.26770159727,9.57754635768,8.88962966892,6.88068909243,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,33.0,27.1087754611,0.0,38.6009623,5.05769799922,5.05763494258,0.0,5.05773192084,8.82298658102,10.3827242693,0.0,14.68169146
888936,10.42111808,2.27961958,0.0,3.58225934,0.123552811734,0.1828001538,0.0,0.119236719257,2045.03995159,254.65970071,0.0,411.743012164,1162.34408256,254.26276806,0.0,399.55577838,888936.0,1011.06135121,253.550191672,0.0,399.516805504,8.573721,10.68766285,9.600104224,8.59157451,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,50.0,39.2265278266,0.0,49.9048051929,8.573721,8.5737129787,0.0,8.57370796783,7.44252722512,9.48717635154,0.0,12.4826278188
894583,7.02957473,0.80667251,0.0,3.68764576,0.0342990822206,0.0578735979117,0.0,0.122641503626,386.90626985,34.2669484165,0.0,158.019124882,298.60954667,34.26666929,0.0,156.64763104,894583.0,335.992899625,34.2669137432,0.0,157.132168992,10.129303923,12.0099083346,10.4463413341,10.6293881392,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,75.0,58.6393282105,0.0,64.159389843,13.547248998,13.5471830559,0.0,13.54718603,6.22799708569,8.61325216276,0.0,10.6357213465
942300,29.37248732,8.85198248,0.0,2.0118142,-0.0771419570242,0.000748789930584,0.0,0.0113474965477,27701.8759507,257.519290778,0.0,44.7394525107,651.38867031,196.30891434,0.0,44.61566235,942300.0,2656.65292456,254.166998686,0.0,44.6911332184,13.4743600517,14.8532060439,12.2660518681,15.0114116677,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,120.0,104.726328524,0.0,83.0152310592,22.1211789926,22.1211032156,0.0,22.1211403953,4.4839075968,7.2092988363,0.0,8.07165514173
965296,0.0,41.907347,0.0,0.0,0.0,-0.00774786839156,0.0,0.0,0.0,13660.6665738,0.0,0.0,0.0,1031.391315,0.0,0.0,965296.0,0.0,4891.88503802,0.0,0.0,8.94490720722,10.9872094976,9.79181407849,10.2751630173,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,159.0,0.0,0.0,0.0,20.3657589919,0.0,0.0,0.0,9.27299250819,0.0,0.0
1008174,0.0,0.0,0.0,17.78,0.0,0.0,0.0,0.0835972678741,0.0,0.0,0.0,769.007686168,0.0,0.0,0.0,732.71,1008174.0,0.0,0.0,0.0,757.654042978,7.32795845626,8.14768983209,7.97452149254,6.99731375824,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.9900000067,0.0,0.0,0.0,14.5041342157
1008198,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.203711557729,0.0,0.0,0.0,1694.03137672,0.0,0.0,0.0,1664.98,1008198.0,0.0,0.0,0.0,1648.12151249,5.9746534749,6.61631840581,6.99444377972,5.21664930908,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3.71999999965,0.0,0.0,0.0,17.9106077685
1049300,0.8521579,13.97538956,0.0,2.21561054,-0.00463731258716,0.351131042885,0.0,0.0972881339509,161.979259557,3434.99283578,0.0,423.237006185,160.83938155,2637.76585742,0.0,418.18239203,1049300.0,160.4249489,2224.06814984,0.0,417.08450163,5.17907223875,7.79582393114,7.74932731593,6.57315576012,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,56.3514829555,37.0,0.0,44.5450327329,5.74141369555,5.74146899888,0.0,5.74137262923,12.365087301,12.2784422109,0.0,15.174260171
1082523,1.2662867,9.37052158,0.0,2.02605872,0.0170122082435,0.250080181873,0.0,0.0780011675033,106.343929682,798.057039356,0.0,170.24387603,106.2402586,786.17791364,0.0,169.98441376,1082523.0,106.007038826,756.574835028,0.0,169.824370809,4.98408432972,7.63057994044,7.64357116188,6.38147273091,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,45.4379452601,31.0,0.0,37.9660771126,4.57968460451,4.57975699883,0.0,4.5797923005,12.8404352738,12.4931843519,0.0,15.5014901275
1124920,0.0,30.12112545,0.0,20.93162955,0.0,-0.0113835843956,0.0,0.0104103626557,0.0,14673.4155937,0.0,317.419703152,0.0,438.31668111,0.0,304.59294789,1124920.0,0.0,4630.91709557,0.0,314.800530959,10.4565279293,12.2682440079,10.6116761651,11.7611630492,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,250.0,0.0,126.723274232,0.0,24.1597069858,0.0,24.1596231541,0.0,8.46208924666,0.0,9.8336275656
