,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,1.3366138163,0.0,0.0,0.0
20,1.39270272667,0.0,0.0,0.0
21,1.43496740067,0.0,0.0,0.0
22,1.46766807827,0.0,0.0,0.0
23,1.49325638809,0.0,0.0,0.0
24,1.51340863783,0.0,0.0,0.0
25,1.52941966899,0.0,0.0,0.0
26,1.54239191796,0.0,0.0,0.0
27,1.55334366163,0.0,0.0,0.0
28,1.56328198117,0.0,0.0,0.0
29,1.57326040178,0.0,0.0,10.3809412336
30,1.58443111594,0.0,0.0,10.3809412336
31,1.59809679024,0.0,0.0,10.3809412336
32,1.61576358433,0.0,0.0,10.3809412336
33,1.63919368401,0.0,0.0,10.3809412336
34,1.67045184195,0.0,0.0,10.3809412336
35,1.7119363631,0.0,0.0,10.3809412336
36,1.76638172906,0.0,0.0,10.3809412336
37,1.83681942904,0.0,0.0,10.3809412336
38,1.80987947579,0.0,0.0,14.9754400976
39,1.79149880412,0.0,0.0,15.1764537412
40,1.77202149725,0.0,0.0,15.3843930313
41,1.75150322675,0.0,0.0,15.59782886
42,1.72999283129,0.0,0.0,15.8154521092
43,1.70753318508,0.0,0.0,16.036071762
44,1.6841619516,0.0,0.0,16.2586108978
45,1.65991224156,0.0,0.0,16.4821012937
46,1.63481319041,0.0,0.0,16.7056771609
47,1.60889046719,0.0,0.0,16.9285684116
48,1.58216672478,0.0,0.0,17.1500937418
49,1.55466199937,0.0,0.0,17.3696537358
50,1.52639406582,0.0,0.0,17.5867241383
51,1.49737875448,0.0,0.0,17.8008493912
52,1.46763023415,0.0,0.0,18.0116364991
53,1.43716126511,0.0,0.0,18.2187492604
54,1.40598342582,0.0,0.0,18.4219028828
55,1.37410731608,0.0,0.0,18.6208589861
56,1.34154273961,0.0,0.0,18.8154209875
57,1.30829886802,0.0,0.0,19.0054298571
58,1.27438438867,0.0,0.0,19.1907602263
59,1.23980763803,0.0,0.0,19.3713168291
60,1.2045767224,0.0,0.0,19.5470312567
61,1.16869962767,0.0,0.0,19.7178590019
62,1.13218431938,0.0,0.0,19.8837767732
