,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.00107248299103,0.0
16,0.0,0.0,0.00161313132661,0.669151566137
17,0.0,0.0,0.00358160084799,1.93187197461
18,0.0,0.0,0.00890380164189,3.57277099419
19,0.0,0.0,0.0211075384973,5.43833321988
20,0.0,0.0,0.0463087702329,7.44192804565
21,0.0,0.0,0.0947331637808,9.53082954722
22,0.0,0.0,0.183069353788,11.6701019637
23,0.0,0.0,0.338136481153,13.8351384303
24,0.0,0.0,0.602636729906,16.0078690806
25,0.0,0.0,1.04414993644,18.1746428644
26,0.0,0.0,1.76897016103,20.3249482497
27,0.0,0.0,2.94289957675,22.4505908536
28,0.0,0.0,4.82189662249,24.5451377345
29,0.0,0.0,7.79678561687,26.6035264063
30,0.0,0.0,12.4581983061,28.6217804994
31,0.0,0.0,19.6906058893,30.5967972409
32,0.0,0.0,30.8079501715,32.5261849302
33,0.0,0.0,47.7484311227,34.4081362204
34,0.0,0.0,73.3530440468,36.2413276764
35,0.0,0.0,111.762249469,38.0248390295
36,0.0,0.0,168.978734109,39.7580874725
37,0.0,0.0,253.662990283,41.4407736286
38,0.0,0.0,378.254328552,43.0728367141
39,0.0,0.0,560.545568613,44.6544170325
40,0.0,0.0,825.888596958,46.1858243855
41,0.0,0.0,1210.27508644,47.667511306
42,0.0,0.0,1764.62852012,49.1000502593
43,0.0,0.0,2560.76915829,50.4841141356
44,0.0,0.0,3699.68478384,51.8204594932
45,0.0,0.0,5322.973236,53.1099121175
46,0.0,0.0,7628.63986404,54.3533545401
47,0.0,0.0,10892.8637056,55.551715227
48,0.0,0.0,15499.9302801,56.7059591957
49,0.0,0.0,21983.3199907,57.8170798602
50,0.0,0.0,31082.0112668,58.8860919359
51,0.0,0.0,43817.5034109,59.914025264
52,0.0,0.0,61599.0152424,60.9019194344
53,0.0,0.0,86366.9456793,61.8508191058
54,0.0,0.0,120788.223732,62.7617699352
55,0.0,0.0,168521.938757,63.6358150415
56,0.0,0.0,234580.042401,64.4739919399
57,0.0,0.0,325816.505799,65.2773298889
58,0.0,0.0,451589.83864,66.0468476026
59,0.0,0.0,624659.316445,66.7835512849
60,0.0,0.0,862395.931575,67.4884329496
61,0.0,0.0,1188416.72979,68.1624689923
