,BA_Aw,BA_Sw,BA_Sb,BA_Pl
134,0.0,0.0,0.0,17.306307216
135,0.0,0.0,0.0,17.3028651519
136,0.0,0.0,0.0,17.2991333345
137,0.0,0.0,0.0,17.2951239187
138,0.0,0.0,0.0,17.2908485314
139,0.0,0.0,0.0,17.2863182928
140,0.0,0.0,0.0,17.2815438384
141,0.0,0.0,0.0,17.2765353382
142,0.0,0.0,0.0,17.2713025172
143,0.0,0.0,0.0,17.2658546733
144,0.0,0.0,0.0,17.260200696
145,0.0,0.0,0.0,17.254349083
146,0.0,0.0,0.0,17.2483079575
147,0.0,0.0,0.0,17.2420850837
148,0.0,0.0,0.0,17.2356878824
149,0.0,0.0,0.0,17.2291234454
150,0.0,0.0,0.0,17.2223985501
151,0.0,0.0,0.0,17.2155196726
152,0.0,0.0,0.0,17.208493001
153,0.0,0.0,0.0,17.2013244476
154,0.0,0.0,0.0,17.1940196613
155,0.0,0.0,0.0,17.1865840385
156,0.0,0.0,0.0,17.1790227348
157,0.0,0.0,0.0,17.1713406749
158,0.0,0.0,0.0,17.1635425631
159,0.0,0.0,0.0,17.1556328928
160,0.0,0.0,0.0,17.1476159562
161,0.0,0.0,0.0,17.1394958524
162,0.0,0.0,0.0,17.1312764968
163,0.0,0.0,0.0,17.1229616285
164,0.0,0.0,0.0,17.1145548189
165,0.0,0.0,0.0,17.1060594784
166,0.0,0.0,0.0,17.0974788641
167,0.0,0.0,0.0,17.0888160866
168,0.0,0.0,0.0,17.0800741161
169,0.0,0.0,0.0,17.0712557894
170,0.0,0.0,0.0,17.0623638154
171,0.0,0.0,0.0,17.0534007811
172,0.0,0.0,0.0,17.0443691568
173,0.0,0.0,0.0,17.0352713018
174,0.0,0.0,0.0,17.0261094691
175,0.0,0.0,0.0,17.0168858103
176,0.0,0.0,0.0,17.0076023801
177,0.0,0.0,0.0,16.9982611411
178,0.0,0.0,0.0,16.9888639675
179,0.0,0.0,0.0,16.9794126494
180,0.0,0.0,0.0,16.9699088966
181,0.0,0.0,0.0,16.9603543422
182,0.0,0.0,0.0,16.9507505461
183,0.0,0.0,0.0,16.9410989987
184,0.0,0.0,0.0,16.9314011233
185,0.0,0.0,0.0,16.9216582802
186,0.0,0.0,0.0,16.9118717687
187,0.0,0.0,0.0,16.9020428306
188,0.0,0.0,0.0,16.8921726521
189,0.0,0.0,0.0,16.8822623672
190,0.0,0.0,0.0,16.8723130596
191,0.0,0.0,0.0,16.8623257649
192,0.0,0.0,0.0,16.8523014734
193,0.0,0.0,0.0,16.8422411316
194,0.0,0.0,0.0,16.8321456446
195,0.0,0.0,0.0,16.8220158777
196,0.0,0.0,0.0,16.8118526586
197,0.0,0.0,0.0,16.8016567791
198,0.0,0.0,0.0,16.7914289964
199,0.0,0.0,0.0,16.781170035
200,0.0,0.0,0.0,16.7708805883
201,0.0,0.0,0.0,16.7605613198
202,0.0,0.0,0.0,16.7502128647
203,0.0,0.0,0.0,16.739835831
204,0.0,0.0,0.0,16.729430801
205,0.0,0.0,0.0,16.7189983323
206,0.0,0.0,0.0,16.7085389592
207,0.0,0.0,0.0,16.6980531934
208,0.0,0.0,0.0,16.6875415254
209,0.0,0.0,0.0,16.6770044254
210,0.0,0.0,0.0,16.666442344
211,0.0,0.0,0.0,16.6558557136
212,0.0,0.0,0.0,16.6452449487
213,0.0,0.0,0.0,16.6346104472
214,0.0,0.0,0.0,16.6239525908
215,0.0,0.0,0.0,16.613271746
216,0.0,0.0,0.0,16.6025682647
217,0.0,0.0,0.0,16.591842485
218,0.0,0.0,0.0,16.5810947317
219,0.0,0.0,0.0,16.5703253168
220,0.0,0.0,0.0,16.5595345404
221,0.0,0.0,0.0,16.5487226912
222,0.0,0.0,0.0,16.5378900467
223,0.0,0.0,0.0,16.5270368742
224,0.0,0.0,0.0,16.5161634308
225,0.0,0.0,0.0,16.5052699643
226,0.0,0.0,0.0,16.4943567131
227,0.0,0.0,0.0,16.4834239074
228,0.0,0.0,0.0,16.4724717688
229,0.0,0.0,0.0,16.4615005111
230,0.0,0.0,0.0,16.4505103406
231,0.0,0.0,0.0,16.4395014565
232,0.0,0.0,0.0,16.4284740511
233,0.0,0.0,0.0,16.41742831
234,0.0,0.0,0.0,16.4063644128
235,0.0,0.0,0.0,16.3952825331
236,0.0,0.0,0.0,16.3841828386
237,0.0,0.0,0.0,16.373065492
238,0.0,0.0,0.0,16.3619306504
239,0.0,0.0,0.0,16.3507784661
240,0.0,0.0,0.0,16.3396090867
241,0.0,0.0,0.0,16.3284226552
242,0.0,0.0,0.0,16.3172193105
243,0.0,0.0,0.0,16.3059991871
244,0.0,0.0,0.0,16.2947624158
245,0.0,0.0,0.0,16.2835091233
246,0.0,0.0,0.0,16.2722394331
247,0.0,0.0,0.0,16.260953465
248,0.0,0.0,0.0,16.2496513356
249,,0.0,0.0,16.2383331583
