,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
0,0.0,0.0,0.0,540.908710007,0.0,0.0,0.0,1.0,-45.0,-45.0,-45.0,-15.8791289735,-45.0,-45.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
1,0.0,0.0,0.0,540.89970671,0.0,0.0,0.0,1.0,-44.0,-44.0,-44.0,-14.8791289735,-44.0,-44.0,-44.0,1.0,0.0,0.0,0.0,0.00434444732256,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
2,0.0,0.0,0.0,540.886443846,0.0,0.0,0.0,1.0,-43.0,-43.0,-43.0,-13.8791289735,-43.0,-43.0,-43.0,2.0,0.0,0.0,0.0,0.0224825942751,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
3,0.0,0.0,0.0,540.869341327,0.0,0.0,0.0,1.0,-42.0,-42.0,-42.0,-12.8791289735,-42.0,-42.0,-42.0,3.0,0.0,0.0,0.0,0.0573989189681,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
4,0.0,0.0,0.0,540.848666861,0.0,0.0,0.0,1.0,-41.0,-41.0,-41.0,-11.8791289735,-41.0,-41.0,-41.0,4.0,0.0,0.0,0.0,0.107126743168,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
5,0.0,0.0,0.0,540.824614085,0.0,0.0,0.0,1.0,-40.0,-40.0,-40.0,-10.8791289735,-40.0,-40.0,-40.0,5.0,0.0,0.0,0.0,0.16933474448,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
6,0.0,0.0,0.0,540.797333146,0.0,0.0,0.0,1.0,-39.0,-39.0,-39.0,-9.8791289735,-39.0,-39.0,-39.0,6.0,0.0,0.0,0.0,0.242080767501,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
7,0.0,0.0,0.0,540.766945798,0.0,0.0,0.0,1.0,-38.0,-38.0,-38.0,-8.8791289735,-38.0,-38.0,-38.0,7.0,0.0,0.0,0.0,0.32381572736,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
8,0.0,0.0,0.0,540.733553918,0.0,0.0,0.0,1.0,-37.0,-37.0,-37.0,-7.8791289735,-37.0,-37.0,-37.0,8.0,0.0,0.0,0.0,0.413297820801,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
9,0.0,0.0,0.0,540.697244754,0.0,0.0,0.0,1.0,-36.0,-36.0,-36.0,-6.8791289735,-36.0,-36.0,-36.0,9.0,0.0,0.0,0.0,0.509516657152,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
10,0.0,0.0,0.0,540.658094386,0.0,0.0,0.0,1.0,-35.0,-35.0,-35.0,-5.8791289735,-35.0,-35.0,-35.0,10.0,0.0,0.0,0.0,0.611636975381,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
11,0.0,0.0,0.0,540.616170114,0.0,0.0,0.0,1.0,-34.0,-34.0,-34.0,-4.8791289735,-34.0,-34.0,-34.0,11.0,0.0,0.0,0.0,0.718958112245,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
12,0.0,0.0,0.0,540.571532176,0.0,0.0,0.0,1.0,-33.0,-33.0,-33.0,-3.8791289735,-33.0,-33.0,-33.0,12.0,0.0,0.0,0.0,0.830884675319,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
13,0.0,0.0,0.0,540.524235013,0.0,0.0,0.0,1.0,-32.0,-32.0,-32.0,-2.8791289735,-32.0,-32.0,-32.0,13.0,0.0,0.0,0.0,0.946905008645,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
14,0.0,0.0,0.0,540.47432824,0.0,0.0,0.0,1.0,-31.0,-31.0,-31.0,-1.8791289735,-31.0,-31.0,-31.0,14.0,0.0,0.0,0.0,1.06657510488,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
15,0.0,0.0,0.0,540.421857396,0.0,0.0,0.0,1.0,-30.0,-30.0,-30.0,-0.8791289735,-30.0,-30.0,-30.0,15.0,0.0,0.0,0.0,1.18950637769,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0
