,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,MerchantableVolumeAw,Gross_Total_Volume_Sw,MerchantableVolumeSw,Gross_Total_Volume_Sb,MerchantableVolumeSb,Gross_Total_Volume_Pl,MerchantableVolumePl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
15,161.976611524,0.0,0,423.154292728,0.27682115292,0.0,0.0,0.72317884708,2.9863956545,-16.2784422109,-41.0,-11.6292274381,15.3514829555,-4.0,-41.0,3.5450327329,1.64322357005,0.0,0,0.0890449448558,0.189691032626,0.0,0.0,0.0,0.000234142430786,1.76922397e-09,0.0,0.0,0.0,,0.0,,0.0,0.000234142430786,0.000234142430786,,1.76922397e-09,
16,161.974568871,0.0,0,423.117076375,0.276836236147,0.0,0.0,0.723163763853,3.9863956545,-15.2784422109,-40.0,-10.6292274381,16.3514829555,-3.0,-40.0,4.5450327329,1.757136384,0.0,0,0.150096180835,0.238333112951,0.0,0.0,0.0,0.000589072199932,7.81591629948e-09,0.0,0.0,0.0,,0.0,,0.0,0.000589072199932,0.000589072199932,,7.81591629948e-09,
17,161.971812364,0.0,0,423.074390103,0.276853027472,0.0,0.0,0.723146972528,4.9863956545,-14.2784422109,-39.0,-9.6292274381,17.3514829555,-2.0,-39.0,5.5450327329,1.87044174956,0.0,0,0.223353330564,0.287949237465,0.0,0.0,0.0,0.00130931742571,2.84709025159e-08,0.0,0.0,0.0,,0.0,,0.0,0.00130931742571,0.00130931742571,,2.84709025159e-08,
18,161.968274684,0.0,0,423.026453032,0.276871340904,0.0,0.0,0.723128659096,5.9863956545,-13.2784422109,-38.0,-8.6292274381,18.3514829555,-1.0,-38.0,6.5450327329,1.98310093536,0.0,0,0.306962816727,0.340826071121,0.0,0.0,0.0,0.00265078931182,9.052638392e-08,0.0,0.0,0.0,,0.0,,0.0,0.00265078931182,0.00265078931182,,9.052638392e-08,
19,161.963894099,3434.99283274,0,422.973446694,0.0402902257272,0.854490671344,0.0,0.105219102928,6.9863956545,-12.2784422109,-37.0,-7.6292274381,19.3514829555,0.0,-37.0,7.5450327329,2.0950840287,0.0,0,0.399444626151,0.361583090082,0.0,0.0,0.0,0.00452505406578,2.07493118447e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.00452505406578,0.00452505406578,,2.07493118447e-07,
20,161.958613289,3432.83196326,0,422.915525542,0.0403112147014,0.85442585297,0.0,0.105262932329,7.9863956545,-11.2784422109,-36.0,-6.6292274381,20.3514829555,1.0,-36.0,8.5450327329,2.20636815496,0.016065622683,0,0.499602438497,0.38003037734,0.0,0.0,0.0,0.00725280635155,4.35615547765e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.00725280635155,0.00725280635155,,4.35615547765e-07,
21,161.952378543,3429.23772682,0,422.852823684,0.0403464490553,0.854310177404,0.0,0.105343373541,8.9863956545,-10.2784422109,-35.0,-5.6292274381,21.3514829555,2.0,-35.0,9.5450327329,2.31693609714,0.0552751198322,0,0.606453796356,0.396847325651,0.0,0.0,0.0,0.0110289841394,8.50712303599e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0110289841394,0.0110289841394,,8.50712303599e-07,
22,161.945139177,3424.21951936,0,422.785459441,0.0403958977815,0.854143708101,0.0,0.105460394118,9.9863956545,-9.2784422109,-34.0,-4.6292274381,22.3514829555,3.0,-34.0,10.5450327329,2.42677521455,0.115763317695,0,0.719179475948,0.412565695885,0.0,0.0,0.0,0.0160448380723,1.56413066044e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0160448380723,0.0160448380723,,1.56413066044e-06,
23,161.936847096,3417.79013308,0,422.713538572,0.040459526216,0.853926527345,0.0,0.105613946439,10.9863956545,-8.2784422109,-33.0,-3.6292274381,23.3514829555,4.0,-33.0,11.5450327329,2.5358765877,0.19473546158,0,0.837086992719,0.427602454245,0.0,0.0,0.0,0.0224826912158,2.73354547135e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0224826912158,0.0224826912158,,2.73354547135e-06,
24,161.927456459,3409.96573358,0,422.637156626,0.040537295353,0.853658737735,0.0,0.105803966912,11.9863956545,-7.2784422109,-32.0,-2.6292274381,24.3514829555,5.0,-32.0,12.5450327329,2.64423433638,0.289683253594,0,0.959583987517,0.442281967158,0.0,0.0,0.0,0.0305127887068,4.57586866875e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0305127887068,0.0305127887068,,4.57586866875e-06,
