,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
0,0.0,0.0,0.0,63.4211874411,0.0,0.0,0.0,1.0,-40.0,-15.6515299745,-40.0,-12.2115979428,-40.0,-5.0,-40.0,0.59480677,0.0,0.0,0.0,0.00212631721694,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
1,0.0,0.0,0.0,63.4211657329,0.0,0.0,0.0,1.0,-39.0,-14.6515299745,-39.0,-11.2115979428,-39.0,-4.0,-39.0,1.59480677,0.0,0.0,0.0,0.0185368970134,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,63.4211354555,0.0,0.0,0.0,1.0,-38.0,-13.6515299745,-38.0,-10.2115979428,-38.0,-3.0,-38.0,2.59480677,0.0,0.0,0.0,0.0585904968856,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
3,0.0,0.0,0.0,63.4210970243,0.0,0.0,0.0,1.0,-37.0,-12.6515299745,-37.0,-9.2115979428,-37.0,-2.0,-37.0,3.59480677,0.0,0.0,0.0,0.120952617182,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
4,0.0,0.0,0.0,63.421050736,0.0,0.0,0.0,1.0,-36.0,-11.6515299745,-36.0,-8.2115979428,-36.0,-1.0,-36.0,4.59480677,0.0,0.0,0.0,0.202208193764,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
5,0.0,190.266827369,0.0,63.4209968196,0.0,0.750003781134,0.0,0.249996218866,-35.0,-10.6515299745,-35.0,-7.2115979428,-35.0,0.0,-35.0,5.59480677,0.0,0.0,0.0,0.299311390234,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
6,0.0,190.266827358,0.0,63.4209354611,0.0,0.750003962523,0.0,0.249996037477,-34.0,-9.6515299745,-34.0,-6.2115979428,-34.0,1.0,-34.0,6.59480677,0.0,0.0202589947939,0.0,0.409807445612,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
7,0.0,190.266827282,0.0,63.4208668161,0.0,0.750004165391,0.0,0.249995834609,-33.0,-8.6515299745,-33.0,-5.2115979428,-33.0,2.0,-33.0,7.59480677,0.0,0.06968206296,0.0,0.531730149546,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
8,0.0,190.266827002,0.0,63.4207910183,0.0,0.750004389204,0.0,0.249995610796,-32.0,-7.6515299745,-32.0,-4.2115979428,-32.0,3.0,-32.0,8.59480677,0.0,0.145869100176,0.0,0.663484880456,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
9,0.0,190.266826247,0.0,63.4207081845,0.0,0.750004633351,0.0,0.249995366649,-31.0,-6.6515299745,-31.0,-3.2115979428,-31.0,4.0,-31.0,9.59480677,0.0,0.24523234569,0.0,0.803758094941,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
10,0.0,190.266824574,0.0,63.4206184182,0.0,0.750004897089,0.0,0.249995102911,-30.0,-5.6515299745,-30.0,-2.2115979428,-30.0,5.0,-30.0,10.59480677,0.0,0.364539127521,0.0,0.951451640268,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
11,0.0,190.266821326,0.0,63.4205218122,0.0,0.750005179495,0.0,0.249994820505,-29.0,-4.6515299745,-29.0,-1.2115979428,-29.0,6.0,-29.0,11.59480677,0.0,0.501010754852,0.0,1.1056352944,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
12,0.0,190.266815583,0.0,63.4204184507,0.0,0.750005479415,0.0,0.249994520585,-28.0,-3.6515299745,-28.0,-0.2115979428,-28.0,7.0,-28.0,12.59480677,0.0,0.65226624134,0.0,1.26551205665,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
