,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,26.2225485256
12,0.0,0.0,0.0,48.7224032678
13,0.0,0.0,0.0,72.1520740219
14,0.0,0.0,0.0,96.212224388
15,0.0,0.0,0.0,120.586385299
16,0.0,0.0,0.0,145.026954493
17,0.0,0.0,0.0,169.345436278
18,0.0,0.0,0.0,193.397559559
19,0.0,0.0,0.0,217.071891014
20,0.0,0.0,0.0,240.281760275
21,0.0,0.0,0.0,262.959530287
22,0.0,0.0,0.0,285.052457231
23,0.0,0.0,0.0,306.519633358
24,0.0,0.0,0.0,327.329681332
25,0.0,0.0,0.0,347.458981499
26,0.0,0.0,0.0,366.890285332
27,0.0,0.0,0.0,385.611614418
28,0.0,0.0,0.0,403.615374517
29,0.0,0.0,0.0,420.897634366
30,0.0,0.0,0.0,437.457532607
31,0.0,0.0,0.0,453.296785729
32,0.0,0.0,0.0,468.419276627
33,0.0,0.0,0.0,482.830708241
34,0.0,0.0,0.0,496.53831024
35,0.0,0.0,0.0,509.550589351
36,0.0,0.0,0.0,521.877115889
37,0.0,0.0,0.0,533.52834054
38,0.0,0.0,0.0,544.515436593
39,0.0,0.0,0.0,554.850163719
40,0.0,0.0,0.0,564.544750086
41,0.0,0.0,0.0,573.611790173
42,0.0,0.0,0.0,582.064156056
43,0.0,0.0,0.0,589.914920339
44,0.0,0.0,0.0,597.177289167
45,0.0,0.0,0.0,603.864543997
46,0.0,0.0,0.0,609.989991009
47,0.0,0.0,0.0,615.566917203
48,0.0,0.0,0.0,620.608552345
49,0.0,0.0,0.0,625.128036049
50,0.0,0.0,0.0,629.138389402
51,0.0,0.0,0.0,632.652490557
52,0.0,0.0,0.0,635.683053864
53,0.0,0.0,0.0,638.242612104
54,0.0,0.0,0.0,640.343501485
55,0.0,0.0,0.0,641.997849069
56,0.0,0.0,0.0,643.217562368
57,0.0,0.0,0.0,644.014320849
58,0.0,0.0,0.0,644.399569141
59,0.0,0.0,0.0,644.384511748
60,0.0,0.0,0.0,643.980109089
61,0.0,0.0,0.0,643.197074733
62,0.0,0.0,0.0,642.045873662
63,0.0,0.0,0.0,640.536721477
64,0.0,0.0,0.0,638.679584406
65,0.0,0.0,0.0,636.48418004
66,0.0,0.0,0.0,633.959978701
67,0.0,0.0,0.0,631.11620536
68,0.0,0.0,0.0,627.961842051
69,0.0,0.0,0.0,624.5056307
