,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,11.3420410125
9,0.0,0.0,0.0,11.3774051359
10,0.0,0.0,0.0,11.4469946531
11,0.0,0.0,0.0,11.5514247768
12,0.0,0.0,0.0,11.6892065833
13,0.0,0.0,0.0,11.857868932
14,0.0,0.0,0.0,12.0544631362
15,0.0,0.0,0.0,12.2758430211
16,0.0,0.0,0.0,12.5188363434
17,0.0,0.0,0.0,12.7803536381
18,0.0,0.0,0.0,13.0574568985
19,0.0,0.0,0.0,13.3474008713
20,0.0,0.0,0.0,13.6476551839
21,0.0,0.0,0.0,13.9559130131
22,0.0,0.0,0.0,14.2700904342
23,0.0,0.0,0.0,14.5883195007
24,0.0,0.0,0.0,14.9089373059
25,0.0,0.0,0.0,15.2304726687
26,0.0,0.0,0.0,15.5516316249
27,0.0,0.0,0.0,15.8712825516
28,0.0,0.0,0.0,16.1884414921
29,0.0,0.0,0.0,16.5022580472
30,0.0,0.0,0.0,16.812002062
31,0.0,0.0,0.0,17.1170512315
32,0.0,0.0,0.0,17.4168796782
33,0.0,0.0,0.0,17.7110475075
34,0.0,0.0,0.0,17.9991913128
35,0.0,0.0,0.0,18.2810155838
36,0.0,0.0,0.0,18.5562849591
37,0.0,0.0,0.0,18.8248172599
38,0.0,0.0,0.0,19.086477239
39,0.0,0.0,0.0,19.341170981
40,0.0,0.0,0.0,19.5888408918
41,0.0,0.0,0.0,19.8294612203
42,0.0,0.0,0.0,20.0630340591
43,0.0,0.0,0.0,20.2895857741
44,0.0,0.0,0.0,20.5091638199
45,0.0,0.0,0.0,20.7218338996
46,0.0,0.0,0.0,20.9276774336
47,0.0,0.0,0.0,21.1267893035
48,0.0,0.0,0.0,21.3192758435
49,0.0,0.0,0.0,21.5052530522
50,0.0,0.0,0.0,21.6848450008
51,0.0,0.0,0.0,21.8581824188
52,0.0,0.0,0.0,22.0254014365
53,0.0,0.0,0.0,22.1866424693
54,0.0,0.0,0.0,22.3420492273
55,0.0,0.0,0.0,22.4917678393
56,0.0,0.0,0.0,22.6359460772
57,0.0,0.0,0.0,22.7747326708
58,0.0,0.0,0.0,22.9082767052
59,0.0,0.0,0.0,23.0367270895
60,0.0,0.0,0.0,23.1602320919
61,0.0,0.0,0.0,23.2789389328
62,0.0,0.0,0.0,23.3929934308
63,0.0,0.0,0.0,23.5025396955
64,0.0,0.0,0.0,23.6077198626
65,0.0,0.0,0.0,23.7086738666
66,0.0,0.0,0.0,23.8055392479
