,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.72584210263,-29.2933234084,-120.0,-120.0,0.0,-21.0660062834,-120.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.72584210263,-28.2933234084,-119.0,-119.0,1.0,-20.0660062834,-119.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.72584210263,-27.2933234084,-118.0,-118.0,2.0,-19.0660062834,-118.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.72584210263,-26.2933234084,-117.0,-117.0,3.0,-18.0660062834,-117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.72584210263,-25.2933234084,-116.0,-116.0,4.0,-17.0660062834,-116.0,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72584210263,-24.2933234084,-115.0,-115.0,5.0,-16.0660062834,-115.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6,29556.2758956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27415789737,-23.2933234084,-114.0,-114.0,6.0,-15.0660062834,-114.0,-114.0,1.37336102718,0.0,0.0,0.0,0.126988769393,0.0,0.0,0.0,2.01087529076e-05,0,0,0.0,0.0,2.01087529076e-05,2.01087529076e-05,5.00522388456e-14,0,0,0.0,0.0,5.00522388456e-14,5.00522388456e-14
7,28985.9577759,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.27415789737,-22.2933234084,-113.0,-113.0,7.0,-14.0660062834,-113.0,-113.0,1.64231734744,0.0,0.0,0.0,0.426227856153,0.0,0.0,0.0,0.000516978244311,0,0,0.0,0.0,0.000516978244311,0.000516978244311,1.29869558126e-11,0,0,0.0,0.0,1.29869558126e-11,1.29869558126e-11
8,28213.2968648,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.27415789737,-21.2933234084,-112.0,-112.0,8.0,-13.0660062834,-112.0,-112.0,1.91218921305,0.0,0.0,0.0,1.04024316595,0.0,0.0,0.0,0.00571388718715,0,0,0.0,0.0,0.00571388718715,0.00571388718715,8.68866419662e-10,0,0,0.0,0.0,8.68866419662e-10,8.68866419662e-10
9,27288.0244687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.27415789737,-20.2933234084,-111.0,-111.0,9.0,-12.0660062834,-111.0,-111.0,2.18176702567,0.0,0.0,0.0,1.84955257641,0.0,0.0,0.0,0.0315549459357,0,0,0.0,0.0,0.0315549459357,0.0315549459357,1.78877311814e-08,0,0,0.0,0.0,1.78877311814e-08,1.78877311814e-08
10,26253.5260489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.27415789737,-19.2933234084,-110.0,-110.0,10.0,-11.0660062834,-110.0,-110.0,2.45020027157,0.0,0.0,0.0,2.76312732541,0.0,0.0,0.0,0.111865669997,0,0,0.0,0.0,0.111865669997,0.111865669997,1.7818403078e-07,0,0,0.0,0.0,1.7818403078e-07,1.7818403078e-07
11,25147.5685307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.27415789737,-18.2933234084,-109.0,-109.0,11.0,-10.0660062834,-109.0,-109.0,2.71688145188,0.0,0.0,0.0,3.74613908852,0.0,0.0,0.0,0.296680243048,0,0,0.0,0.0,0.296680243048,0.296680243048,1.11897003338e-06,0,0,0.0,0.0,1.11897003338e-06,1.11897003338e-06
12,24002.1879758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.27415789737,-17.2933234084,-108.0,-108.0,12.0,-9.0660062834,-108.0,-108.0,2.98137266436,0.0,0.0,0.0,4.78094189718,0.0,0.0,0.0,0.643714047734,0,0,0.0,0.0,0.643714047734,0.643714047734,5.122396218e-06,0,0,0.0,0.0,5.122396218e-06,5.122396218e-06
13,22843.6952487,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.27415789737,-16.2933234084,-107.0,-107.0,13.0,-8.0660062834,-107.0,-107.0,3.24335733423,0.0,0.0,0.0,5.85591519131,0.0,0.0,0.0,1.208606716,0,0,0.0,0.0,1.208606716,1.208606716,1.86529499567e-05,0,0,0.0,0.0,1.86529499567e-05,1.86529499567e-05
14,21692.959524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.27415789737,-15.2933234084,-106.0,-106.0,14.0,-7.0660062834,-106.0,-106.0,3.5026074517,0.0,0.0,0.0,6.96228754066,0.0,0.0,0.0,2.03803678379,0,0,0.0,0.0,2.03803678379,2.03803678379,5.71693018986e-05,0,0,0.0,0.0,5.71693018986e-05,5.71693018986e-05
15,20565.9225069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.27415789737,-14.2933234084,-105.0,-105.0,15.0,-6.0660062834,-105.0,-105.0,3.75896073386,0.0,0.0,0.0,8.09296372486,0.0,0.0,0.0,3.16661343561,0,0,0.0,0.0,3.16661343561,3.16661343561,0.000153258214216,0,0,0.0,0.0,0.000153258214216,0.000153258214216
16,19474.2481554,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.2741578974,-13.2933234084,-104.0,-104.0,16.0,-5.0660062834,-104.0,-104.0,4.01230434041,0.0,0.0,0.0,9.24198326914,0.0,0.0,0.0,4.61664530876,0,0,0.0,0.0,4.61664530876,4.61664530876,0.000369283227025,0,0,0.0,0.0,0.000369283227025,0.000369283227025
17,18426.0187849,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.2741578974,-12.2933234084,-103.0,-103.0,17.0,-4.0660062834,-103.0,-103.0,4.26256303606,0.0,0.0,0.0,10.4042252759,0.0,0.0,0.0,6.39951842194,0,0,0.0,0.0,6.39951842194,6.39951842194,0.000815847435242,0,0,0.0,0.0,0.000815847435242,0.000815847435242
18,17426.4116132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.2741578974,-11.2933234084,-102.0,-102.0,18.0,-3.0660062834,-102.0,-102.0,4.5096904404,0.0,0.0,0.0,11.5752270316,0.0,0.0,0.0,8.51770137857,0,0,0.0,0.0,8.51770137857,8.51770137857,0.00167742518185,0,0,0.0,0.0,0.00167742518185,0.00167742518185
19,16478.3146765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.2741578974,-10.2933234084,-101.0,-101.0,19.0,-2.0660062834,-101.0,-101.0,4.7536624659,0.0,0.0,0.0,12.7510624933,0.0,0.0,0.0,10.9667945671,0,0,0.0,0.0,10.9667945671,10.9667945671,0.00324650973411,0,0,0.0,0.0,0.00324650973411,0.00324650973411
20,15582.8615938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.2741578974,-9.29332340838,-100.0,-100.0,20.0,-1.0660062834,-100.0,-100.0,4.99447233431,0.0,0.0,0.0,13.9282555939,0.0,0.0,0.0,13.7373457923,0,0,0.0,0.0,13.7373457923,13.7373457923,0.00596754365276,0,0,0.0,0.0,0.00596754365276,0.00596754365276
21,14739.8793154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.2741578974,-8.29332340838,-99.0,-99.0,21.0,-0.0660062834,-99.0,-99.0,5.23212674991,0.0,0.0,0.0,15.1037153975,0.0,0.0,0.0,16.8163399767,0,0,0.0,0.0,16.8163399767,16.8163399767,0.0104917394346,0,0,0.0,0.0,0.0104917394346,0.0104917394346
22,13948.2522596,3988.39516574,0.0,0.0,0.777639874879,0.222360125121,0.0,0.0,16.2741578974,-7.29332340838,-98.0,-98.0,22.0,0.9339937166,-98.0,-98.0,5.46664293258,0.0277063525825,0.0,0.0,15.9567642304,0.0,0.0,0.0,19.7995838874,0,0,0.0,0.0,19.7995838874,19.7995838874,0.0169606844888,0,0,0.0,0.0,0.0169606844888,0.0169606844888
