,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
211,0.0,282.692852195,0.0,0.0,0.0,1.0,0.0,0.0,189.0,196.78240478,189.0,189.0,189.0,211.0,189.0,189.0,0.0,15.8886458608,0.0,0.0,0.0,0.0,0.0,24.8490110834
212,0.0,280.22734707,0.0,0.0,0.0,1.0,0.0,0.0,190.0,197.78240478,190.0,190.0,190.0,212.0,190.0,190.0,0.0,15.9120873618,0.0,0.0,0.0,0.0,0.0,24.8384439993
213,0.0,277.787458618,0.0,0.0,0.0,1.0,0.0,0.0,191.0,198.78240478,191.0,191.0,191.0,213.0,191.0,191.0,0.0,15.9353416894,0.0,0.0,0.0,0.0,0.0,24.8278536855
214,0.0,275.372928507,0.0,0.0,0.0,1.0,0.0,0.0,192.0,199.78240478,192.0,192.0,192.0,214.0,192.0,192.0,0.0,15.9584109481,0.0,0.0,0.0,0.0,0.0,24.8172404866
215,0.0,272.983499566,0.0,0.0,0.0,1.0,0.0,0.0,193.0,200.78240478,193.0,193.0,193.0,215.0,193.0,193.0,0.0,15.9812972126,0.0,0.0,0.0,0.0,0.0,24.8066047337
216,0.0,270.618915852,0.0,0.0,0.0,1.0,0.0,0.0,194.0,201.78240478,194.0,194.0,194.0,216.0,194.0,194.0,0.0,16.0040025283,0.0,0.0,0.0,0.0,0.0,24.7959467453
217,0.0,268.278922709,0.0,0.0,0.0,1.0,0.0,0.0,195.0,202.78240478,195.0,195.0,195.0,217.0,195.0,195.0,0.0,16.0265289118,0.0,0.0,0.0,0.0,0.0,24.7852668277
218,0.0,265.963266828,0.0,0.0,0.0,1.0,0.0,0.0,196.0,203.78240478,196.0,196.0,196.0,218.0,196.0,196.0,0.0,16.0488783513,0.0,0.0,0.0,0.0,0.0,24.7745652757
219,0.0,263.671696298,0.0,0.0,0.0,1.0,0.0,0.0,197.0,204.78240478,197.0,197.0,197.0,219.0,197.0,197.0,0.0,16.071052807,0.0,0.0,0.0,0.0,0.0,24.763842373
220,0.0,261.40396066,0.0,0.0,0.0,1.0,0.0,0.0,198.0,205.78240478,198.0,198.0,198.0,220.0,198.0,198.0,0.0,16.093054212,0.0,0.0,0.0,0.0,0.0,24.7530983928
