,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.34702606672,-19.056099982,-156.0,-62.9721050919,0.147571873,-11.0,-156.0,-53.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.34702606672,-18.056099982,-155.0,-61.9721050919,1.147571873,-10.0,-155.0,-52.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34702606672,-17.056099982,-154.0,-60.9721050919,2.147571873,-9.0,-154.0,-51.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34702606672,-16.056099982,-153.0,-59.9721050919,3.147571873,-8.0,-153.0,-50.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34702606672,-15.056099982,-152.0,-58.9721050919,4.147571873,-7.0,-152.0,-49.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34702606672,-14.056099982,-151.0,-57.9721050919,5.147571873,-6.0,-151.0,-48.674278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,315.890855033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65297393328,-13.056099982,-150.0,-56.9721050919,6.147571873,-5.0,-150.0,-47.674278295,1.4829859457,0.0,0.0,0.0,0.132559370601,0.0,0.0,0.0
7,315.852953714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.65297393328,-12.056099982,-149.0,-55.9721050919,7.147571873,-4.0,-149.0,-46.674278295,1.7649226789,0.0,0.0,0.0,0.437580241613,0.0,0.0,0.0
8,315.793152959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.65297393328,-11.056099982,-148.0,-54.9721050919,8.147571873,-3.0,-148.0,-45.674278295,2.04741023526,0.0,0.0,0.0,0.972520898028,0.0,0.0,0.0
9,315.710015413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.65297393328,-10.056099982,-147.0,-53.9721050919,9.147571873,-2.0,-147.0,-44.674278295,2.32924813164,0.0,0.0,0.0,1.65754052161,0.0,0.0,0.0
10,315.602415717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.65297393328,-9.05609998196,-146.0,-52.9721050919,10.147571873,-1.0,-146.0,-43.674278295,2.60959253621,0.0,0.0,0.0,2.43130920345,0.0,0.0,0.0
11,315.469430681,6264.66215193,0.0,0.0,0.0479427237466,0.952057276253,0.0,0.0,5.65297393328,-8.05609998196,-145.0,-51.9721050919,11.147571873,0.0,-145.0,-42.674278295,2.88784208697,0.0,0.0,0.0,2.48958868093,0.0,0.0,0.0
12,315.31028279,6252.06792006,0.0,0.0,0.0480115920007,0.951988407999,0.0,0.0,6.65297393328,-7.05609998196,-144.0,-50.9721050919,12.147571873,1.0,-144.0,-41.674278295,3.16356520536,0.0322708602725,0.0,0.0,2.5555354826,0.0,0.0,0.0
13,315.12430706,6232.13007119,0.0,0.0,0.0481307566278,0.951869243372,0.0,0.0,7.65297393328,-6.05609998196,-143.0,-49.9721050919,13.147571873,2.0,-143.0,-40.674278295,3.43645206058,0.110916908472,0.0,0.0,2.63094010712,0.0,0.0,0.0
14,314.910929871,6205.26759388,0.0,0.0,0.0482978999307,0.951702100069,0.0,0.0,8.65297393328,-5.05609998196,-142.0,-48.9721050919,14.147571873,3.0,-142.0,-39.674278295,3.70628182821,0.231928196865,0.0,0.0,2.7170128671,0.0,0.0,0.0
15,314.669654592,6171.84637286,0.0,0.0,0.0485113508177,0.951488649182,0.0,0.0,9.65297393328,-4.05609998196,-141.0,-47.9721050919,15.147571873,4.0,-141.0,-38.674278295,3.97289978784,0.389344740169,0.0,0.0,2.8144585053,0.0,0.0,0.0
16,314.400051382,6132.21920784,0.0,0.0,0.0487697564785,0.951230243521,0.0,0.0,10.6529739333,-3.05609998196,-140.0,-46.9721050919,16.147571873,5.0,-140.0,-37.674278295,4.23620094731,0.57775145996,0.0,0.0,2.92354601184,0.0,0.0,0.0
17,314.10174967,6086.73961736,0.0,0.0,0.0490719472113,0.950928052789,0.0,0.0,11.6529739333,-2.05609998196,-139.0,-45.9721050919,17.147571873,6.0,-139.0,-36.674278295,4.49611811145,0.792458677889,0.0,0.0,3.0441806291,0.0,0.0,0.0
18,313.774432458,6035.76670757,0.0,0.0,0.0494168673827,0.950583132617,0.0,0.0,12.6529739333,-1.05609998196,-138.0,-44.9721050919,18.147571873,7.0,-138.0,-35.674278295,4.75261304723,1.02942619827,0.0,0.0,3.1759776716,0.0,0.0,0.0
19,313.41783188,5979.66615535,0.0,0.0,0.0498035355187,0.950196464481,0.0,0.0,13.6529739333,-0.05609998196,-137.0,-43.9721050919,19.147571873,8.0,-137.0,-34.674278295,5.00566984905,1.28516092637,0.0,0.0,3.31833467432,0.0,0.0,0.0
20,313.031725677,5918.80927736,0.0,0.0,0.0502310192966,0.949768980703,0.0,0.0,14.6529739333,0.94390001804,-136.0,-42.9721050919,20.147571873,9.0,-136.0,-33.674278295,5.25528989526,1.55662782531,0.0,0.0,3.47049783123,0.0,0.0,0.200789726307
21,312.615934321,5853.57111087,0.0,0.0,0.0506984189792,0.949301581021,0.0,0.0,15.6529739333,1.94390001804,-135.0,-41.9721050919,21.147571873,10.0,-135.0,-32.674278295,5.50148797303,1.84117821063,0.0,0.0,3.63161958108,0.0,0.0,0.61000737859
22,312.170318638,5784.32800223,0.0,0.0,0.0512048560023,0.948795143998,0.0,0.0,16.6529739333,2.94390001804,-134.0,-40.9721050919,22.147571873,11.0,-134.0,-31.674278295,5.74428927334,2.13649261599,0.0,0.0,3.8008056656,0.0,0.0,1.18491451233
23,311.6947778,5711.45499641,0.0,0.0,0.0517494648953,0.948250535105,0.0,0.0,17.6529739333,3.94390001804,-133.0,-39.9721050919,23.147571873,12.0,-133.0,-30.674278295,5.98372704166,2.44053486736,0.0,0.0,3.97715141743,0.0,0.0,1.87464747533
24,311.189247593,5635.32321276,0.0,0.0,0.0523313874591,0.947668612541,0.0,0.0,18.6529739333,4.94390001804,-132.0,-38.9721050919,24.147571873,13.0,-132.0,-29.674278295,6.21984072849,2.751514622,0.0,0.0,4.15976810647,0.0,0.0,2.64083286117
