,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,6.90330057231
15,0.0,0.0,0.0,7.82549699547
16,0.0,0.0,0.0,9.14280517385
17,0.0,0.0,0.0,10.7792237446
18,0.0,0.0,0.0,12.6540116949
19,0.0,0.0,0.0,12.712335065
20,0.0,0.0,0.0,12.8732186417
21,0.0,0.0,0.0,13.0471837747
22,0.0,0.0,0.0,13.2324013001
23,0.0,0.0,0.0,13.4271324526
24,0.0,0.0,0.0,13.6297466771
25,0.0,0.0,0.0,13.8387312641
26,0.0,0.0,0.0,14.0526952394
27,0.0,0.0,0.0,14.2703692231
28,0.0,0.0,0.0,14.4906024983
29,0.0,0.0,0.0,14.7123581998
30,0.0,0.0,0.0,14.9347072985
31,0.0,0.0,0.0,15.1568218781
32,0.0,0.0,0.0,15.377968068
33,0.0,0.0,0.0,15.597498896
34,0.0,0.0,0.0,15.8148472468
35,0.0,0.0,0.0,16.0295190536
36,0.0,0.0,0.0,16.241086808
37,0.0,0.0,0.0,16.4491834385
38,0.0,0.0,0.0,16.6534965864
39,0.0,0.0,0.0,16.8537632878
40,0.0,0.0,0.0,17.0497650601
41,0.0,0.0,0.0,17.2413233824
42,0.0,0.0,0.0,17.4282955519
43,0.0,0.0,0.0,17.6105708975
44,0.0,0.0,0.0,17.7880673281
45,0.0,0.0,0.0,17.9607281916
46,0.0,0.0,0.0,18.1285194229
47,0.0,0.0,0.0,18.2914269576
48,0.0,0.0,0.0,18.4494543896
49,0.0,0.0,0.0,18.602620853
50,0.0,0.0,0.0,18.7509591073
51,0.0,0.0,0.0,18.8945138099
52,0.0,0.0,0.0,19.0333399571
53,0.0,0.0,0.0,19.1675014806
54,0.0,0.0,0.0,19.2970699833
55,0.0,0.0,0.0,19.4221236025
56,0.0,0.0,0.0,19.5427459886
57,0.0,0.0,0.0,19.6590253883
58,0.0,0.0,0.0,19.7710538228
59,0.0,0.0,0.0,19.8789263518
60,0.0,0.0,0.0,19.9827404154
61,0.0,0.0,0.0,20.0825952464
62,0.0,0.0,0.0,20.1785913464
63,0.0,0.0,0.0,20.2708300196
64,0.0,0.0,0.0,20.3594129589
65,0.0,0.0,0.0,20.4444418794
66,0.0,0.0,0.0,20.5260181946
67,0.0,0.0,0.0,20.6042427308
