         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      698    0.055    0.000    0.266    0.000 {any}
      901    0.028    0.000    0.266    0.000 copy.py:66(copy)
        1    0.001    0.001    0.262    0.262 __init__.py:795(resolve)
       36    0.000    0.000    0.260    0.007 contextlib.py:15(__enter__)
       26    0.246    0.009    0.258    0.010 {_io.open}
        1    0.001    0.001    0.255    0.255 charset.py:6(<module>)
       76    0.002    0.000    0.252    0.003 __init__.py:2130(fixup_namespace_packages)
        1    0.001    0.001    0.252    0.252 base64mime.py:25(<module>)
        1    0.069    0.069    0.251    0.251 utils.py:5(<module>)
        1    0.043    0.043    0.251    0.251 ticker.py:150(<module>)
   119/21    0.014    0.000    0.248    0.012 pyparsing.py:3247(leaveWhitespace)
        2    0.093    0.046    0.241    0.121 base.py:3(<module>)
        1    0.000    0.000    0.238    0.238 __init__.py:648(_build_master)
        1    0.000    0.000    0.238    0.238 __init__.py:635(__init__)
        1    0.102    0.102    0.237    0.237 ops.py:5(<module>)
       13    0.000    0.000    0.237    0.018 __init__.py:2767(_dep_map)
        1    0.210    0.210    0.237    0.237 __init__.py:41(<module>)
       10    0.001    0.000    0.237    0.024 __init__.py:2775(_compute_dependencies)
        1    0.095    0.095    0.234    0.234 expr.py:2(<module>)
        1    0.074    0.074    0.232    0.232 cycler.py:41(<module>)
      184    0.004    0.000    0.230    0.001 genericpath.py:46(isdir)
  1476/43    0.050    0.000    0.225    0.005 pyparsing.py:1347(_parseNoCache)
   356/43    0.013    0.000    0.222    0.005 pyparsing.py:3356(parseImpl)
        2    0.037    0.018    0.218    0.109 missing.py:3(<module>)
       19    0.217    0.011    0.217    0.011 {posix.listdir}
        1    0.166    0.166    0.217    0.217 httplib.py:67(<module>)
        1    0.028    0.028    0.214    0.214 inspect.py:25(<module>)
        2    0.140    0.070    0.214    0.107 __init__.py:3(<module>)
55261/54349    0.205    0.000    0.213    0.000 {len}
    10778    0.158    0.000    0.210    0.000 mathtext.py:2596(<genexpr>)
        1    0.162    0.162    0.207    0.207 font_manager.py:21(<module>)
       49    0.003    0.000    0.207    0.004 pyparsing.py:1016(_trim_arity)
        1    0.066    0.066    0.205    0.205 transforms.py:30(<module>)
       47    0.005    0.000    0.204    0.004 traceback.py:281(extract_stack)
       45    0.001    0.000    0.202    0.004 pyparsing.py:1227(setParseAction)
     1038    0.013    0.000    0.202    0.000 __init__.py:874(__setitem__)
        2    0.121    0.061    0.198    0.099 __init__.py:45(<module>)
        1    0.030    0.030    0.195    0.195 polynomial.py:4(<module>)
        1    0.062    0.062    0.189    0.189 rrule.py:7(<module>)
        1    0.150    0.150    0.188    0.188 interface.py:1(<module>)
        1    0.008    0.008    0.185    0.185 specifiers.py:4(<module>)
        3    0.028    0.009    0.182    0.061 six.py:1(<module>)
        1    0.014    0.014    0.176    0.176 tokenize.py:23(<module>)
        1    0.083    0.083    0.172    0.172 parser.py:29(<module>)
       11    0.008    0.001    0.171    0.016 artist.py:1186(pprint_setters)
       63    0.001    0.000    0.170    0.003 posixpath.py:372(realpath)
        2    0.087    0.043    0.164    0.082 generic.py:5470(_add_series_or_dataframe_operations)
        1    0.013    0.013    0.163    0.163 config.py:49(<module>)
        1    0.043    0.043    0.162    0.162 zipfile.py:3(<module>)
       20    0.001    0.000    0.162    0.008 __init__.py:2757(_parsed_pkg_info)
    66/63    0.006    0.000    0.162    0.003 posixpath.py:380(_joinrealpath)
       39    0.001    0.000    0.159    0.004 __init__.py:2825(parse_requirements)
       21    0.003    0.000    0.157    0.007 __init__.py:2846(__init__)
        1    0.000    0.000    0.157    0.157 specifiers.py:275(Specifier)
        1    0.082    0.082    0.157    0.157 types.py:1(<module>)
       22    0.001    0.000    0.156    0.007 core.py:154(iter_style_files)
        1    0.023    0.023    0.156    0.156 __init__.py:7(<module>)
        2    0.000    0.000    0.154    0.077 machar.py:98(__init__)
        2    0.022    0.011    0.154    0.077 machar.py:116(_do_init)
       94    0.003    0.000    0.153    0.002 linecache.py:47(checkcache)
        1    0.055    0.055    0.153    0.153 generic.py:2(<module>)
       21    0.001    0.000    0.153    0.007 requirements.py:88(__init__)
     1899    0.153    0.000    0.153    0.000 {setattr}
        1    0.002    0.002    0.149    0.149 _axes.py:93(Axes)
        1    0.050    0.050    0.148    0.148 _internal.py:6(<module>)
        1    0.000    0.000    0.147    0.147 __init__.py:967(rc_params)
        1    0.132    0.132    0.146    0.146 __init__.py:88(<module>)
        6    0.024    0.004    0.146    0.024 config.py:761(is_instance_factory)
      348    0.006    0.000    0.146    0.000 posixpath.py:132(islink)
       54    0.002    0.000    0.142    0.003 pyplot.py:2479(<lambda>)
        1    0.139    0.139    0.139    0.139 bisect.py:1(<module>)
24011/24009    0.123    0.000    0.138    0.000 {isinstance}
  252/124    0.005    0.000    0.138    0.001 pyparsing.py:3322(copy)
        1    0.000    0.000    0.138    0.138 log.py:6(setup_logging)
        1    0.000    0.000    0.138    0.138 config.py:792(dictConfig)
        1    0.000    0.000    0.138    0.138 config.py:495(configure)
      690    0.019    0.000    0.137    0.000 sre_compile.py:228(_compile_charset)
       48    0.136    0.003    0.136    0.003 {imp.find_module}
      529    0.008    0.000    0.135    0.000 decorators.py:181(__call__)
      348    0.135    0.000    0.135    0.000 {posix.lstat}
    27688    0.134    0.000    0.134    0.000 {method 'append' of 'list' objects}
      433    0.002    0.000    0.132    0.000 {method 'extend' of 'list' objects}
       94    0.010    0.000    0.128    0.001 docstring.py:113(dedent_interpd)
      551    0.046    0.000    0.127    0.000 textwrap.py:374(dedent)
        1    0.041    0.041    0.127    0.127 fractions.py:4(<module>)
     2024    0.028    0.000    0.127    0.000 fromnumeric.py:1900(any)
   115/70    0.005    0.000    0.126    0.002 pyparsing.py:3506(parseImpl)
      122    0.002    0.000    0.124    0.001 __init__.py:2536(_get_metadata)
       24    0.004    0.000    0.124    0.005 __init__.py:870(__init__)
      434    0.123    0.000    0.123    0.000 {method 'join' of 'unicode' objects}
      900    0.078    0.000    0.122    0.000 copy.py:306(_reconstruct)
        3    0.000    0.000    0.122    0.041 config.py:654(configure_formatter)
        2    0.121    0.061    0.121    0.061 __init__.py:2(<module>)
        2    0.000    0.000    0.121    0.061 config.py:469(configure_custom)
        1    0.099    0.099    0.121    0.121 printing.py:3(<module>)
        1    0.050    0.050    0.121    0.121 packers.py:39(<module>)
        4    0.000    0.000    0.121    0.030 config.py:380(resolve)
       11    0.000    0.000    0.121    0.011 artist.py:1027(__init__)
       24    0.016    0.001    0.120    0.005 pyparsing.py:2612(__init__)
       11    0.061    0.006    0.120    0.011 artist.py:1045(get_aliases)
      218    0.008    0.000    0.118    0.001 cbook.py:1145(dedent)
       17    0.000    0.000    0.118    0.007 __init__.py:1467(get_metadata)
        1    0.028    0.028    0.118    0.118 patches.py:3(<module>)
       17    0.007    0.000    0.117    0.007 __init__.py:1578(_get)
      200    0.016    0.000    0.115    0.001 sre_compile.py:433(_compile_info)
        1    0.071    0.071    0.115    0.115 index_tricks.py:1(<module>)
        1    0.054    0.054    0.114    0.114 shutil.py:5(<module>)
        1    0.022    0.022    0.113    0.113 pyplot.py:2172(_setup_pyplot_info_docstrings)
        2    0.000    0.000    0.113    0.056 _apipkg.py:110(__makeattr)
        1    0.000    0.000    0.112    0.112 _apipkg.py:47(importobj)
      174    0.009    0.000    0.112    0.001 docstring.py:94(dedent)
       11    0.031    0.003    0.111    0.010 artist.py:1103(_get_setters_and_targets)
        1    0.000    0.000    0.110    0.110 __init__.py:18(pylab_setup)
       92    0.003    0.000    0.109    0.001 genericpath.py:23(exists)
       18    0.000    0.000    0.109    0.006 rcsetup.py:392(validate_font_properties)
       18    0.000    0.000    0.109    0.006 fontconfig_pattern.py:119(parse)
       55    0.002    0.000    0.106    0.002 docstring.py:88(__call__)
        1    0.050    0.050    0.105    0.105 _base.py:1(<module>)
     7067    0.064    0.000    0.103    0.000 sre_parse.py:141(__getitem__)
      900    0.099    0.000    0.099    0.000 {method '__reduce_ex__' of 'object' objects}
     1353    0.098    0.000    0.099    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.022    0.022    0.098    0.098 decorators.py:15(<module>)
      690    0.048    0.000    0.097    0.000 sre_compile.py:256(_optimize_charset)
        2    0.046    0.023    0.096    0.048 numeric.py:1(<module>)
        2    0.000    0.000    0.094    0.047 pyparsing.py:4863(makeHTMLTags)
        2    0.001    0.001    0.094    0.047 pyparsing.py:4834(_makeTags)
       79    0.001    0.000    0.093    0.001 __init__.py:1464(has_metadata)
        1    0.078    0.078    0.090    0.090 testing.py:1(<module>)
       79    0.001    0.000    0.089    0.001 __init__.py:1566(_has)
        2    0.086    0.043    0.088    0.044 __init__.py:4(<module>)
        1    0.072    0.072    0.087    0.087 parsers.py:3(<module>)
        1    0.009    0.009    0.087    0.087 reshape.py:3(<module>)
 2408/912    0.069    0.000    0.087    0.000 sre_parse.py:151(getwidth)
