         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      403    0.002    0.000    0.002    0.000 {method 'mro' of 'type' objects}
      159    0.001    0.000    0.002    0.000 posixpath.py:52(isabs)
        3    0.001    0.000    0.002    0.001 numeric.py:365(extend_all)
      4/2    0.001    0.000    0.002    0.001 common.py:366(_get_dtype_from_object)
        1    0.000    0.000    0.002    0.002 polynomial.py:1517(Polynomial)
      601    0.002    0.000    0.002    0.000 pyparsing.py:2112(__str__)
        9    0.000    0.000    0.002    0.000 extras.py:232(__init__)
      152    0.002    0.000    0.002    0.000 colors.py:499(__init__)
        4    0.000    0.000    0.002    0.001 core.py:1319(type_cast_value)
      562    0.002    0.000    0.002    0.000 pyparsing.py:2615(<genexpr>)
      200    0.002    0.000    0.002    0.000 {_sre.compile}
        1    0.000    0.000    0.002    0.002 geo.py:1(<module>)
       19    0.000    0.000    0.002    0.000 nosetester.py:511(_numpy_tester)
       11    0.001    0.000    0.002    0.000 parser.py:117(__init__)
       21    0.001    0.000    0.002    0.000 specifiers.py:591(__init__)
       14    0.000    0.000    0.002    0.000 cycler.py:468(cycler)
        1    0.000    0.000    0.002    0.002 parser.py:48(_timelex)
        4    0.000    0.000    0.002    0.001 core.py:1334(_convert)
       22    0.000    0.000    0.002    0.000 pyparsing.py:437(__iter__)
        9    0.000    0.000    0.002    0.000 extras.py:236(getdoc)
      475    0.002    0.000    0.002    0.000 sre_parse.py:221(isident)
      357    0.002    0.000    0.002    0.000 pyparsing.py:186(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:854(RcParams)
      633    0.002    0.000    0.002    0.000 version.py:298(_parse_letter_version)
      592    0.002    0.000    0.002    0.000 {abs}
        2    0.000    0.000    0.002    0.001 random.py:91(__init__)
        1    0.001    0.001    0.002    0.002 tdi.py:86(TimedeltaIndex)
        4    0.000    0.000    0.002    0.000 types.py:36(__call__)
        4    0.000    0.000    0.002    0.000 core.py:1340(process_value)
       26    0.001    0.000    0.002    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
      271    0.002    0.000    0.002    0.000 {numpy.core.multiarray.add_docstring}
        2    0.000    0.000    0.002    0.001 random.py:100(seed)
        1    0.000    0.000    0.002    0.002 groupby.py:2035(BinGrouper)
        5    0.000    0.000    0.002    0.000 core.py:766(get_params)
       13    0.000    0.000    0.002    0.000 {_functools.reduce}
        1    0.000    0.000    0.002    0.002 types.py:402(convert)
     35/1    0.001    0.000    0.002    0.002 copy.py:145(deepcopy)
       49    0.001    0.000    0.002    0.000 pyparsing.py:3740(__str__)
        3    0.001    0.000    0.002    0.001 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 backports_abc.py:16(<module>)
       27    0.000    0.000    0.002    0.000 offsets.py:52(apply_wraps)
        6    0.002    0.000    0.002    0.000 {method 'write' of 'file' objects}
       34    0.001    0.000    0.002    0.000 pyparsing.py:670(_asStringList)
      5/1    0.000    0.000    0.002    0.002 copy.py:253(_deepcopy_dict)
       61    0.001    0.000    0.002    0.000 pyparsing.py:1530(resetCache)
        1    0.002    0.002    0.002    0.002 errors.py:9(<module>)
      196    0.002    0.000    0.002    0.000 pyparsing.py:2390(parseImpl)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:482(__init__)
        1    0.000    0.000    0.002    0.002 parser.py:279(__init__)
        1    0.002    0.002    0.002    0.002 utils.py:145(KeepOpenFile)
      546    0.002    0.000    0.002    0.000 {globals}
      445    0.002    0.000    0.002    0.000 pyparsing.py:2118(streamline)
        5    0.000    0.000    0.002    0.000 core.py:795(get_help_option)
      434    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
       24    0.000    0.000    0.002    0.000 rcsetup.py:734(<genexpr>)
       26    0.000    0.000    0.002    0.000 __init__.py:2907(_find_adapter)
        1    0.000    0.000    0.002    0.002 defchararray.py:17(<module>)
       14    0.000    0.000    0.002    0.000 cycler.py:529(_cycler)
        1    0.002    0.002    0.002    0.002 window.py:1350(ExpandingGroupby)
       14    0.001    0.000    0.002    0.000 {sorted}
        1    0.002    0.002    0.002    0.002 ascii.py:8(<module>)
        9    0.000    0.000    0.002    0.000 moments.py:672(_expanding_func)
       24    0.002    0.000    0.002    0.000 {numpy.core.multiarray.empty}
      444    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
  458/437    0.002    0.000    0.002    0.000 {hash}
        1    0.002    0.002    0.002    0.002 defchararray.py:1669(chararray)
      153    0.002    0.000    0.002    0.000 {method 'find' of 'unicode' objects}
       18    0.001    0.000    0.002    0.000 ops.py:1338(_comp_method_PANEL)
        1    0.001    0.001    0.002    0.002 _compat.py:48(__init__)
       20    0.001    0.000    0.002    0.000 nosetester.py:170(__init__)
        1    0.000    0.000    0.002    0.002 zipfile.py:420(_ZipDecrypter)
        1    0.000    0.000    0.002    0.002 internals.py:4008(__init__)
        7    0.001    0.000    0.002    0.000 parser.py:294(_convert)
       24    0.000    0.000    0.002    0.000 re.py:284(_subx)
        1    0.001    0.001    0.002    0.002 zipfile.py:433(_GenerateCRCTable)
        3    0.000    0.000    0.002    0.001 __init__.py:2866(__eq__)
       17    0.000    0.000    0.002    0.000 version.py:292(__cmp__)
        8    0.000    0.000    0.002    0.000 generic.py:5673(_make_logical_function)
        1    0.000    0.000    0.002    0.002 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.002    0.002 internals.py:2628(make_block)
        3    0.000    0.000    0.002    0.001 textwrap.py:331(fill)
        4    0.000    0.000    0.002    0.000 inspect.py:355(getdoc)
      136    0.001    0.000    0.002    0.000 rcsetup.py:57(func)
        1    0.002    0.002    0.002    0.002 {posix.popen}
      487    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
      380    0.002    0.000    0.002    0.000 pyparsing.py:292(__init__)
        1    0.000    0.000    0.002    0.002 internals.py:97(__init__)
        3    0.000    0.000    0.002    0.001 specifiers.py:650(__eq__)
       21    0.000    0.000    0.002    0.000 pyparsing.py:3810(__init__)
       14    0.001    0.000    0.001    0.000 cycler.py:191(_from_iter)
       90    0.001    0.000    0.001    0.000 pyparsing.py:1167(setName)
       13    0.001    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      186    0.001    0.000    0.001    0.000 decorators.py:134(__call__)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
        4    0.001    0.000    0.001    0.000 inspect.py:369(cleandoc)
        3    0.000    0.000    0.001    0.000 textwrap.py:316(wrap)
        9    0.000    0.000    0.001    0.000 __init__.py:513(_get_home)
        1    0.000    0.000    0.001    0.001 numerictypes.py:957(_register_types)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
       15    0.000    0.000    0.001    0.000 pyparsing.py:3894(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:2375(Distribution)
       23    0.000    0.000    0.001    0.000 __init__.py:214(_releaseLock)
       38    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
      334    0.001    0.000    0.001    0.000 pyparsing.py:435(__bool__)
       67    0.001    0.000    0.001    0.000 core.py:6048(isMaskedArray)
        1    0.001    0.001    0.001    0.001 numerictypes.py:451(_set_array_types)
      123    0.001    0.000    0.001    0.000 expr.py:146(<genexpr>)
      353    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       12    0.001    0.000    0.001    0.000 feedparser.py:96(push)
      337    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       24    0.000    0.000    0.001    0.000 re.py:264(_compile_repl)
       26    0.001    0.000    0.001    0.000 __init__.py:2898(_get_mro)
      370    0.001    0.000    0.001    0.000 ops.py:56(names)
      308    0.001    0.000    0.001    0.000 pyparsing.py:2020(setWhitespaceChars)
        5    0.001    0.000    0.001    0.000 {posix.open}
        1    0.000    0.000    0.001    0.001 window.py:345(Window)
      283    0.001    0.000    0.001    0.000 {repr}
        1    0.001    0.001    0.001    0.001 ticker.py:1043(IndexLocator)
      103    0.001    0.000    0.001    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 resample.py:33(Resampler)
      423    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
        9    0.000    0.000    0.001    0.000 moments.py:456(_rolling_func)
       81    0.001    0.000    0.001    0.000 cbook.py:687(iterable)
        8    0.000    0.000    0.001    0.000 pyparsing.py:1979(__invert__)
        3    0.000    0.000    0.001    0.000 core.py:1156(decorator)
        1    0.000    0.000    0.001    0.001 index.py:158(DatetimeIndex)
        1    0.000    0.000    0.001    0.001 plotting.py:2242(BoxPlot)
       34    0.000    0.000    0.001    0.000 pyparsing.py:3976(__str__)
      142    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
       36    0.000    0.000    0.001    0.000 contextlib.py:82(helper)
        2    0.001    0.001    0.001    0.001 {function seed at 0x7fb5a3aa6398}
        1    0.000    0.000    0.001    0.001 dist.py:34(Distribution)
      353    0.001    0.000    0.001    0.000 pyparsing.py:3351(<genexpr>)
      353    0.001    0.000    0.001    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.001    0.001    0.001    0.001 chainmap_impl.py:35(ChainMap)
        4    0.000    0.000    0.001    0.000 tempfile.py:124(rng)
        1    0.000    0.000    0.001    0.001 pytables.py:4241(AppendableMultiFrameTable)
        4    0.000    0.000    0.001    0.000 core.py:742(__init__)
        1    0.000    0.000    0.001    0.001 polar.py:220(PolarAxes)
        3    0.001    0.000    0.001    0.000 textwrap.py:243(_wrap_chunks)
        8    0.000    0.000    0.001    0.000 pyparsing.py:3788(__init__)
      200    0.001    0.000    0.001    0.000 rcsetup.py:145(validate_float)
        1    0.000    0.000    0.001    0.001 range.py:1(<module>)
       24    0.001    0.000    0.001    0.000 pyparsing.py:4716(<lambda>)
       78    0.001    0.000    0.001    0.000 pkgutil.py:366(get_importer)
      173    0.001    0.000    0.001    0.000 functools.py:39(wraps)
       54    0.001    0.000    0.001    0.000 parser.py:81(split_opt)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
      130    0.001    0.000    0.001    0.000 {method 'ljust' of 'unicode' objects}
        2    0.001    0.000    0.001    0.001 lazy.py:135(__new__)
      292    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 patches.py:1219(YAArrow)
       14    0.001    0.000    0.001    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    0.001    0.000 __init__.py:146(compare_versions)
       15    0.000    0.000    0.001    0.000 config.py:329(pop)
        2    0.000    0.000    0.001    0.001 __init__.py:346(__init__)
      200    0.001    0.000    0.001    0.000 sre_parse.py:67(__init__)
      265    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
        4    0.000    0.000    0.001    0.000 utils.py:45(make_default_short_help)
       98    0.001    0.000    0.001    0.000 _inspect.py:133(strseq)
        6    0.000    0.000    0.001    0.000 config.py:751(add_handlers)
        6    0.001    0.000    0.001    0.000 rcsetup.py:200(validate_fonttype)
        1    0.000    0.000    0.001    0.001 __init__.py:1634(MemoizedZipManifests)
      252    0.001    0.000    0.001    0.000 six.py:88(__init__)
        1    0.000    0.000    0.001    0.001 hermite.py:59(<module>)
        1    0.000    0.000    0.001    0.001 {imp.load_module}
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
        2    0.000    0.000    0.001    0.001 lazy.py:80(__new__)
        2    0.000    0.000    0.001    0.001 __init__.py:827(__init__)
        1    0.000    0.000    0.001    0.001 categorical.py:152(Categorical)
        1    0.000    0.000    0.001    0.001 window.py:750(_Rolling_and_Expanding)
      217    0.001    0.000    0.001    0.000 pyparsing.py:483(haskeys)
        1    0.001    0.001    0.001    0.001 ols.py:27(OLS)
        1    0.000    0.000    0.001    0.001 array.py:157(SparseArray)
        8    0.000    0.000    0.001    0.000 core.py:7777(__init__)
       44    0.001    0.000    0.001    0.000 rcsetup.py:375(validate_fontsize)
       15    0.000    0.000    0.001    0.000 pyparsing.py:2004(suppress)
        5    0.000    0.000    0.001    0.000 scale.py:586(get_scale_names)
      250    0.001    0.000    0.001    0.000 __init__.py:863(<genexpr>)
        2    0.000    0.000    0.001    0.001 __init__.py:665(__init__)
       54    0.001    0.000    0.001    0.000 six.py:569(iterkeys)
       61    0.001    0.000    0.001    0.000 _weakrefset.py:83(add)
      210    0.001    0.000    0.001    0.000 {unichr}
        3    0.000    0.000    0.001    0.000 sre_parse.py:734(parse_template)
       15    0.000    0.000    0.001    0.000 pyparsing.py:3904(__str__)
       21    0.000    0.000    0.001    0.000 requirements.py:54(<lambda>)
       25    0.001    0.000    0.001    0.000 artist.py:36(allow_rasterization)
        3    0.000    0.000    0.001    0.000 utils.py:117(deprecate)
      101    0.001    0.000    0.001    0.000 copy_reg.py:46(_reconstructor)
        4    0.000    0.000    0.001    0.000 __init__.py:1878(get_metadata_lines)
        1    0.001    0.001    0.001    0.001 dviread.py:20(<module>)
       13    0.000    0.000    0.001    0.000 _methods.py:40(_all)
       21    0.000    0.000    0.001    0.000 dist.py:119(<lambda>)
      200    0.001    0.000    0.001    0.000 colors.py:363(<genexpr>)
      102    0.001    0.000    0.001    0.000 collections.py:375(<genexpr>)
      261    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
        2    0.001    0.000    0.001    0.000 six.py:689(exec_)
        1    0.000    0.000    0.001    0.001 patches.py:1117(FancyArrow)
        7    0.000    0.000    0.001    0.000 threading.py:114(RLock)
        1    0.000    0.000    0.001    0.001 StringIO.py:30(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:1861(get_metadata)
      247    0.001    0.000    0.001    0.000 threading.py:64(_note)
       31    0.000    0.000    0.001    0.000 copy_reg.py:95(_slotnames)
       32    0.001    0.000    0.001    0.000 posixpath.py:251(expanduser)
        2    0.000    0.000    0.001    0.000 core.py:99(iter_params_for_processing)
        1    0.000    0.000    0.001    0.001 expr.py:251(f)
        1    0.001    0.001    0.001    0.001 backports_abc.py:81(mk_awaitable)
        8    0.000    0.000    0.001    0.000 core.py:7782(getdoc)
        2    0.001    0.000    0.001    0.000 {_ctypes.dlopen}
        1    0.001    0.001    0.001    0.001 StringIO.py:42(StringIO)
        1    0.000    0.000    0.001    0.001 generic.py:1(<module>)
        3    0.001    0.000    0.001    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.001    0.001    0.001    0.001 patches.py:1412(Circle)
       12    0.000    0.000    0.001    0.000 printing.py:156(pprint_thing)
      102    0.001    0.000    0.001    0.000 collections.py:373(<genexpr>)
       60    0.001    0.000    0.001    0.000 _inspect.py:146(<lambda>)
        3    0.000    0.000    0.001    0.000 base.py:3542(_add_logical_methods)
        3    0.001    0.000    0.001    0.000 {posix.readlink}
       27    0.001    0.000    0.001    0.000 core.py:903(__init__)
        1    0.001    0.001    0.001    0.001 blocking_input.py:23(<module>)
       56    0.001    0.000    0.001    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.001    0.001 category.py:23(CategoricalIndex)
       23    0.000    0.000    0.001    0.000 __init__.py:205(_acquireLock)
        7    0.000    0.000    0.001    0.000 threading.py:132(__init__)
        3    0.001    0.000    0.001    0.000 core.py:1671(full_process_value)
        3    0.000    0.000    0.001    0.000 decorators.py:149(decorator)
        6    0.000    0.000    0.001    0.000 base.py:3559(_make_logical_function)
       73    0.001    0.000    0.001    0.000 __init__.py:894(__getitem__)
        1    0.000    0.000    0.001    0.001 core.py:1135(__init__)
      273    0.001    0.000    0.001    0.000 version.py:352(<lambda>)
      274    0.001    0.000    0.001    0.000 version.py:273(<lambda>)
        1    0.000    0.000    0.001    0.001 core.py:918(__init__)
      148    0.001    0.000    0.001    0.000 __init__.py:1902(__init__)
        1    0.000    0.000    0.001    0.001 patches.py:549(Shadow)
       68    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
        3    0.001    0.000    0.001    0.000 utils.py:73(__call__)
       36    0.001    0.000    0.001    0.000 contextlib.py:12(__init__)
       12    0.000    0.000    0.001    0.000 core.py:104(sort_key)
        1    0.000    0.000    0.001    0.001 legendre.py:83(<module>)
        2    0.001    0.000    0.001    0.000 cbook.py:1684(__init__)
       17    0.000    0.000    0.001    0.000 specifiers.py:82(__init__)
        1    0.000    0.000    0.001    0.001 period.py:111(PeriodIndex)
       44    0.001    0.000    0.001    0.000 six.py:103(__init__)
       17    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
       66    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 sysconfig.py:123(is_python_build)
      229    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.001    0.001 triinterpolate.py:3(<module>)
      190    0.001    0.000    0.001    0.000 pyparsing.py:180(<genexpr>)
      252    0.001    0.000    0.001    0.000 ops.py:62(<lambda>)
      188    0.001    0.000    0.001    0.000 pyparsing.py:4849(<genexpr>)
        1    0.001    0.001    0.001    0.001 geo.py:334(HammerAxes)
       80    0.001    0.000    0.001    0.000 docstring.py:100(copy)
       11    0.000    0.000    0.001    0.000 nanops.py:39(__call__)
        1    0.000    0.000    0.001    0.001 offsetbox.py:15(<module>)
        4    0.000    0.000    0.001    0.000 generic.py:199(_setup_axes)
       21    0.000    0.000    0.001    0.000 fancy_getopt.py:469(translate_longopt)
       30    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
       39    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.001    0.000 core.py:1687(__init__)
       10    0.000    0.000    0.001    0.000 offsets.py:106(apply_index_wraps)
        2    0.000    0.000    0.001    0.000 __init__.py:694(createLock)
      211    0.001    0.000    0.001    0.000 version.py:332(_parse_local_version)
      248    0.001    0.000    0.001    0.000 {thread.get_ident}
       81    0.000    0.000    0.001    0.000 six.py:139(__init__)
        4    0.000    0.000    0.001    0.000 base.py:3537(_add_numeric_methods)
      151    0.001    0.000    0.001    0.000 {method 'replace' of 'unicode' objects}
        2    0.001    0.000    0.001    0.000 {math.log10}
        1    0.000    0.000    0.001    0.001 image.py:5(<module>)
      186    0.001    0.000    0.001    0.000 decorators.py:128(__init__)
        1    0.001    0.001    0.001    0.001 geo.py:23(GeoAxes)
        8    0.000    0.000    0.001    0.000 six.py:91(__get__)
        7    0.001    0.000    0.001    0.000 rcsetup.py:228(validate_backend)
        5    0.001    0.000    0.001    0.000 core.py:327(__exit__)
        4    0.000    0.000    0.001    0.000 core.py:333(scope)
        1    0.000    0.000    0.001    0.001 hermite_e.py:59(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:1320(use)
       23    0.001    0.000    0.001    0.000 __init__.py:297(report)
       78    0.001    0.000    0.001    0.000 rcsetup.py:64(__call__)
        1    0.000    0.000    0.001    0.001 sql.py:5(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:2387(FancyBboxPatch)
       55    0.001    0.000    0.001    0.000 docstring.py:84(__init__)
       47    0.000    0.000    0.001    0.000 re.py:208(escape)
       11    0.001    0.000    0.001    0.000 threading.py:59(__init__)
        8    0.000    0.000    0.001    0.000 collections.py:50(__init__)
        6    0.000    0.000    0.001    0.000 decimal.py:514(__new__)
        1    0.001    0.001    0.001    0.001 numbers.py:169(Real)
        4    0.000    0.000    0.001    0.000 specifiers.py:242(_coerce_version)
        8    0.000    0.000    0.001    0.000 version.py:283(local)
       34    0.000    0.000    0.001    0.000 utf_8.py:15(decode)
       39    0.000    0.000    0.001    0.000 pyparsing.py:3162(parseImpl)
        2    0.000    0.000    0.001    0.000 _compat.py:142(<lambda>)
        1    0.001    0.001    0.001    0.001 types.py:96(UnprocessedParamType)
       21    0.000    0.000    0.001    0.000 requirements.py:57(<lambda>)
       14    0.000    0.000    0.001    0.000 cycler.py:112(__init__)
        1    0.001    0.001    0.001    0.001 expr.py:264(BaseExprVisitor)
       18    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'unicode' objects}
        1    0.001    0.001    0.001    0.001 excel.py:607(ExcelWriter)
        1    0.001    0.001    0.001    0.001 ticker.py:1072(FixedLocator)
        1    0.000    0.000    0.001    0.001 backports_abc.py:24(mk_gen)
        1    0.000    0.000    0.001    0.001 numerictypes.py:285(_add_types)
        2    0.000    0.000    0.001    0.000 utils.py:166(echo)
       77    0.001    0.000    0.001    0.000 __init__.py:748(__iter__)
        8    0.000    0.000    0.001    0.000 version.py:266(public)
       50    0.001    0.000    0.001    0.000 {_ctypes.sizeof}
       26    0.000    0.000    0.001    0.000 numerictypes.py:229(bitname)
        1    0.001    0.001    0.001    0.001 pytables.py:232(FilterBinOp)
        1    0.001    0.001    0.001    0.001 {math.exp}
        4    0.001    0.000    0.001    0.000 _apipkg.py:150(AliasModule)
        1    0.000    0.000    0.001    0.001 streamplot.py:4(<module>)
       80    0.001    0.000    0.001    0.000 docstring.py:102(do_copy)
       43    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
        7    0.000    0.000    0.001    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
        1    0.001    0.001    0.001    0.001 axis.py:1972(YAxis)
        1    0.001    0.001    0.001    0.001 calendar.py:376(HTMLCalendar)
      187    0.001    0.000    0.001    0.000 pyparsing.py:3502(<genexpr>)
        2    0.000    0.000    0.001    0.000 __init__.py:586(_get_xdg_cache_dir)
      195    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.001    0.000    0.001    0.000 parser.py:205(__init__)
        1    0.000    0.000    0.001    0.001 quiver.py:15(<module>)
        1    0.001    0.001    0.001    0.001 transforms.py:58(TransformNode)
       50    0.000    0.000    0.001    0.000 _compat.py:176(isidentifier)
        6    0.000    0.000    0.001    0.000 fontconfig_pattern.py:158(_property)
        2    0.001    0.000    0.001    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.001    0.001 groupby.py:3890(PanelGroupBy)
        2    0.001    0.000    0.001    0.000 {posix.urandom}
        2    0.000    0.000    0.001    0.000 __init__.py:572(_get_xdg_config_dir)
       72    0.000    0.000    0.001    0.000 numerictypes.py:127(english_lower)
        1    0.001    0.001    0.001    0.001 transforms.py:1781(Affine2D)
        1    0.000    0.000    0.001    0.001 laguerre.py:59(<module>)
       24    0.000    0.000    0.001    0.000 random.py:273(choice)
       38    0.000    0.000    0.001    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.001    0.001 frame.py:35(SparseDataFrame)
        2    0.000    0.000    0.001    0.000 font_manager.py:983(__init__)
       34    0.000    0.000    0.001    0.000 copy.py:267(_keep_alive)
        1    0.000    0.000    0.001    0.001 stata.py:912(StataReader)
        1    0.000    0.000    0.001    0.001 legend_handler.py:26(<module>)
       12    0.000    0.000    0.001    0.000 ops.py:1279(_comp_method_FRAME)
        1    0.000    0.000    0.001    0.001 pyparsing.py:1931(__xor__)
       24    0.000    0.000    0.001    0.000 specifiers.py:136(_get_operator)
      129    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.001    0.000 six.py:191(load_module)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        2    0.000    0.000    0.000    0.000 font_manager.py:987(make_rcparams_key)
      152    0.000    0.000    0.000    0.000 pyparsing.py:2011(leaveWhitespace)
       13    0.000    0.000    0.000    0.000 pyparsing.py:3057(__init__)
       18    0.000    0.000    0.000    0.000 fontconfig_pattern.py:150(_families)
       67    0.000    0.000    0.000    0.000 {method 'format' of 'unicode' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
       23    0.000    0.000    0.000    0.000 locale.py:610(getpreferredencoding)
        4    0.000    0.000    0.000    0.000 version.py:74(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3417(__init__)
      108    0.000    0.000    0.000    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 core.py:778(collect_usage_pieces)
        1    0.000    0.000    0.000    0.000 range.py:21(RangeIndex)
        1    0.000    0.000    0.000    0.000 base.py:58(TimelikeOps)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:3800(__str__)
      151    0.000    0.000    0.000    0.000 ops.py:51(<lambda>)
        5    0.000    0.000    0.000    0.000 core.py:787(get_help_option_names)
        1    0.000    0.000    0.000    0.000 lines.py:191(Line2D)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:129(<dictcomp>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4251(__init__)
        4    0.000    0.000    0.000    0.000 version.py:131(_legacy_cmpkey)
        3    0.000    0.000    0.000    0.000 {fcntl.ioctl}
       39    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 __init__.py:681(set_name)
        5    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 patches.py:4275(ConnectionPatch)
       24    0.000    0.000    0.000    0.000 version.py:65(_compare)
       37    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.000    0.000 common.py:67(is_datetimetz)
       18    0.000    0.000    0.000    0.000 core.py:981(__init__)
       21    0.000    0.000    0.000    0.000 string.py:484(translate)
        3    0.000    0.000    0.000    0.000 base.py:3452(_add_numeric_methods_binary)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3123(__init__)
        1    0.000    0.000    0.000    0.000 series.py:2815(_sanitize_array)
       26    0.000    0.000    0.000    0.000 calendar.py:55(__getitem__)
        6    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
       32    0.000    0.000    0.000    0.000 base.py:207(_create_delegator_method)
       18    0.000    0.000    0.000    0.000 __init__.py:2182(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:430(get_provider)
        1    0.000    0.000    0.000    0.000 plotting.py:3570(SeriesPlotMethods)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
      146    0.000    0.000    0.000    0.000 __init__.py:2408(_reload_version)
       10    0.000    0.000    0.000    0.000 dtypes.py:74(is_dtype)
       16    0.000    0.000    0.000    0.000 version.py:56(__ge__)
       32    0.000    0.000    0.000    0.000 pyparsing.py:2710(charsAsStr)
      103    0.000    0.000    0.000    0.000 expr.py:156(<lambda>)
        1    0.000    0.000    0.000    0.000 json.py:3(<module>)
      100    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       50    0.000    0.000    0.000    0.000 escape_codes.py:20(esc)
        1    0.000    0.000    0.000    0.000 __init__.py:709(find)
      132    0.000    0.000    0.000    0.000 ops.py:53(<lambda>)
       29    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:107(Legend)
       10    0.000    0.000    0.000    0.000 parser.py:18(__init__)
       10    0.000    0.000    0.000    0.000 rcsetup.py:271(__call__)
      125    0.000    0.000    0.000    0.000 six.py:86(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        8    0.000    0.000    0.000    0.000 pyparsing.py:3467(__str__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 patches.py:762(RegularPolygon)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
      113    0.000    0.000    0.000    0.000 pyparsing.py:643(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
